excluded sets [ 7  9 10 13 16 19 24]
1BA2_20_01_unrelaxed_rank_3_model_1:  2.44
1BA2_20_01_unrelaxed_rank_4_model_4:  2.44
1BA2_20_01_unrelaxed_rank_5_model_5:  2.60
1BA2_20_02_unrelaxed_rank_1_model_3:  2.55
1BA2_20_02_unrelaxed_rank_2_model_2:  2.48
1BA2_20_02_unrelaxed_rank_3_model_1:  2.54
1BA2_20_02_unrelaxed_rank_4_model_4:  2.44
1BA2_20_02_unrelaxed_rank_5_model_5:  2.39
1BA2_20_03_unrelaxed_rank_1_model_2:  2.33
1BA2_20_03_unrelaxed_rank_2_model_3:  2.50
1BA2_20_03_unrelaxed_rank_3_model_1:  2.37
1BA2_20_03_unrelaxed_rank_4_model_4:  2.49
1BA2_20_03_unrelaxed_rank_5_model_5:  2.50
1BA2_21_01_unrelaxed_rank_1_model_4:  2.10
1BA2_21_01_unrelaxed_rank_2_model_1:  2.08
1BA2_21_01_unrelaxed_rank_3_model_3:  2.18
1BA2_21_01_unrelaxed_rank_4_model_2:  2.03
1BA2_21_01_unrelaxed_rank_5_model_5:  2.42
1BA2_21_02_unrelaxed_rank_1_model_1:  2.14
1BA2_21_02_unrelaxed_rank_2_model_4:  2.07
1BA2_21_02_unrelaxed_rank_3_model_3:  2.19
1BA2_21_02_unrelaxed_rank_4_model_5:  2.36
1BA2_21_02_unrelaxed_rank_5_model_2:  2.19
1BA2_21_03_unrelaxed_rank_1_model_3:  2.21
1BA2_21_03_unrelaxed_rank_2_model_4:  1.87
1BA2_21_03_unrelaxed_rank_3_model_1:  2.12
1BA2_21_03_unrelaxed_rank_4_model_5:  2.37
1BA2_21_03_unrelaxed_rank_5_model_2:  2.02
1BA2_22_01_unrelaxed_rank_1_model_3:  2.52
1BA2_22_01_unrelaxed_rank_2_model_4:  2.55
1BA2_22_01_unrelaxed_rank_3_model_2:  2.31
1BA2_22_01_unrelaxed_rank_4_model_5:  2.61
1BA2_22_01_unrelaxed_rank_5_model_1:  2.41
1BA2_22_02_unrelaxed_rank_1_model_3:  2.30
1BA2_22_02_unrelaxed_rank_2_model_1:  2.32
1BA2_22_02_unrelaxed_rank_3_model_4:  2.42
1BA2_22_02_unrelaxed_rank_4_model_2:  2.56
1BA2_22_02_unrelaxed_rank_5_model_5:  2.65
1BA2_22_03_unrelaxed_rank_1_model_3:  2.46
1BA2_22_03_unrelaxed_rank_2_model_4:  2.40
1BA2_22_03_unrelaxed_rank_3_model_2:  2.28
1BA2_22_03_unrelaxed_rank_4_model_1:  2.42
1BA2_22_03_unrelaxed_rank_5_model_5:  2.91
1BA2_23_01_unrelaxed_rank_1_model_3:  2.38
1BA2_23_01_unrelaxed_rank_2_model_4:  2.17
1BA2_23_01_unrelaxed_rank_3_model_2:  2.38
1BA2_23_01_unrelaxed_rank_4_model_1:  2.58
1BA2_23_01_unrelaxed_rank_5_model_5:  2.60
1BA2_23_02_unrelaxed_rank_1_model_3:  2.48
1BA2_23_02_unrelaxed_rank_2_model_2:  2.46
1BA2_23_02_unrelaxed_rank_3_model_1:  2.43
1BA2_23_02_unrelaxed_rank_4_model_4:  2.38
1BA2_23_02_unrelaxed_rank_5_model_5:  2.50
1BA2_23_03_unrelaxed_rank_1_model_3:  2.45
1BA2_23_03_unrelaxed_rank_2_model_2:  2.41
1BA2_23_03_unrelaxed_rank_3_model_4:  2.35
1BA2_23_03_unrelaxed_rank_4_model_1:  2.51
1BA2_23_03_unrelaxed_rank_5_model_5:  2.53
1BA2_25_01_unrelaxed_rank_1_model_4:  2.11
1BA2_25_01_unrelaxed_rank_2_model_3:  2.59
1BA2_25_01_unrelaxed_rank_3_model_1:  2.06
1BA2_25_01_unrelaxed_rank_4_model_2:  2.22
1BA2_25_01_unrelaxed_rank_5_model_5:  2.63
1BA2_25_02_unrelaxed_rank_1_model_3:  2.56
1BA2_25_02_unrelaxed_rank_2_model_4:  2.27
1BA2_25_02_unrelaxed_rank_3_model_1:  2.01
1BA2_25_02_unrelaxed_rank_4_model_2:  2.24
1BA2_25_02_unrelaxed_rank_5_model_5:  2.64
1BA2_25_03_unrelaxed_rank_1_model_4:  2.20
1BA2_25_03_unrelaxed_rank_2_model_3:  2.24
1BA2_25_03_unrelaxed_rank_3_model_1:  2.02
1BA2_25_03_unrelaxed_rank_4_model_2:  2.23
1BA2_25_03_unrelaxed_rank_5_model_5:  1.82
1BA2_26_01_unrelaxed_rank_1_model_4:  2.03
1BA2_26_01_unrelaxed_rank_2_model_3:  2.05
1BA2_26_01_unrelaxed_rank_3_model_2:  1.99
1BA2_26_01_unrelaxed_rank_4_model_5:  2.11
1BA2_26_01_unrelaxed_rank_5_model_1:  2.00
1BA2_26_02_unrelaxed_rank_1_model_4:  2.03
1BA2_26_02_unrelaxed_rank_2_model_1:  2.13
1BA2_26_02_unrelaxed_rank_3_model_3:  2.19
1BA2_26_02_unrelaxed_rank_4_model_2:  2.06
1BA2_26_02_unrelaxed_rank_5_model_5:  2.18
1BA2_26_03_unrelaxed_rank_1_model_4:  2.20
1BA2_26_03_unrelaxed_rank_2_model_2:  2.04
1BA2_26_03_unrelaxed_rank_3_model_5:  2.17
1BA2_26_03_unrelaxed_rank_4_model_3:  2.24
1BA2_26_03_unrelaxed_rank_5_model_1:  2.05
1BA2_27_01_unrelaxed_rank_1_model_3:  2.40
1BA2_27_01_unrelaxed_rank_2_model_4:  2.52
1BA2_27_01_unrelaxed_rank_3_model_2:  2.38
1BA2_27_01_unrelaxed_rank_4_model_1:  2.63
1BA2_27_01_unrelaxed_rank_5_model_5:  2.67
1BA2_27_02_unrelaxed_rank_1_model_4:  2.27
1BA2_27_02_unrelaxed_rank_2_model_3:  2.54
1BA2_27_02_unrelaxed_rank_3_model_1:  2.48
1BA2_27_02_unrelaxed_rank_4_model_2:  2.51
1BA2_27_02_unrelaxed_rank_5_model_5:  2.69
1BA2_27_03_unrelaxed_rank_1_model_3:  2.49
1BA2_27_03_unrelaxed_rank_2_model_1:  2.34
1BA2_27_03_unrelaxed_rank_3_model_2:  2.42
1BA2_27_03_unrelaxed_rank_4_model_4:  2.44
1BA2_27_03_unrelaxed_rank_5_model_5:  2.70
