[0.91929]: 7f1qp 5uiwp
CCR5_02_02_unrelaxed_rank_1_model_1: 0.9022 0.8905
CCR5_02_02_unrelaxed_rank_2_model_3: 0.9252 0.9619
CCR5_02_02_unrelaxed_rank_3_model_4: 0.9651 0.9270
CCR5_02_02_unrelaxed_rank_4_model_2: 0.8857 0.8690
CCR5_02_02_unrelaxed_rank_5_model_5: 0.9582 0.9372
CCR5_02_03_unrelaxed_rank_1_model_3: 0.9202 0.9669
CCR5_02_03_unrelaxed_rank_2_model_1: 0.9119 0.9003
CCR5_02_03_unrelaxed_rank_3_model_4: 0.9657 0.9297
CCR5_02_03_unrelaxed_rank_4_model_2: 0.8926 0.8738
CCR5_02_03_unrelaxed_rank_5_model_5: 0.9617 0.9354
CCR5_03_01_unrelaxed_rank_1_model_3: 0.9163 0.9666
CCR5_03_01_unrelaxed_rank_2_model_1: 0.9574 0.9402
CCR5_03_01_unrelaxed_rank_3_model_4: 0.9588 0.9421
CCR5_03_01_unrelaxed_rank_4_model_5: 0.9574 0.9368
CCR5_03_01_unrelaxed_rank_5_model_2: 0.9437 0.9362
CCR5_03_02_unrelaxed_rank_1_model_3: 0.9093 0.9663
CCR5_03_02_unrelaxed_rank_2_model_1: 0.9628 0.9420
CCR5_03_02_unrelaxed_rank_3_model_4: 0.9550 0.9428
CCR5_03_02_unrelaxed_rank_4_model_5: 0.9549 0.9381
CCR5_03_02_unrelaxed_rank_5_model_2: 0.9419 0.9338
CCR5_03_03_unrelaxed_rank_1_model_3: 0.9070 0.9687
CCR5_03_03_unrelaxed_rank_2_model_1: 0.9615 0.9435
CCR5_03_03_unrelaxed_rank_3_model_4: 0.9577 0.9436
CCR5_03_03_unrelaxed_rank_4_model_5: 0.9522 0.9362
CCR5_03_03_unrelaxed_rank_5_model_2: 0.9396 0.9330
CCR5_04_01_unrelaxed_rank_1_model_3: 0.8978 0.9581
CCR5_04_01_unrelaxed_rank_2_model_1: 0.9469 0.9345
CCR5_04_01_unrelaxed_rank_3_model_4: 0.9413 0.9387
CCR5_04_01_unrelaxed_rank_4_model_5: 0.9395 0.9357
CCR5_04_01_unrelaxed_rank_5_model_2: 0.9421 0.9324
CCR5_04_02_unrelaxed_rank_1_model_3: 0.8952 0.9581
CCR5_04_02_unrelaxed_rank_2_model_1: 0.9464 0.9328
CCR5_04_02_unrelaxed_rank_3_model_4: 0.9442 0.9390
CCR5_04_02_unrelaxed_rank_4_model_5: 0.9385 0.9348
CCR5_04_02_unrelaxed_rank_5_model_2: 0.9408 0.9329
CCR5_04_03_unrelaxed_rank_1_model_3: 0.8956 0.9584
CCR5_04_03_unrelaxed_rank_2_model_1: 0.9483 0.9345
CCR5_04_03_unrelaxed_rank_3_model_4: 0.9382 0.9350
CCR5_04_03_unrelaxed_rank_4_model_5: 0.9377 0.9349
CCR5_04_03_unrelaxed_rank_5_model_2: 0.9404 0.9324
CCR5_05_01_unrelaxed_rank_1_model_3: 0.9183 0.9124
CCR5_05_01_unrelaxed_rank_2_model_1: 0.9241 0.9158
CCR5_05_01_unrelaxed_rank_3_model_4: 0.9191 0.9113
CCR5_05_01_unrelaxed_rank_4_model_2: 0.9070 0.9001
CCR5_05_01_unrelaxed_rank_5_model_5: 0.9145 0.9159
CCR5_05_02_unrelaxed_rank_1_model_3: 0.9454 0.9229
CCR5_05_02_unrelaxed_rank_2_model_1: 0.8939 0.8846
CCR5_05_02_unrelaxed_rank_3_model_2: 0.9059 0.8992
CCR5_05_02_unrelaxed_rank_4_model_5: 0.9146 0.9172
CCR5_05_02_unrelaxed_rank_5_model_4: 0.9266 0.9241
CCR5_05_03_unrelaxed_rank_1_model_3: 0.9223 0.9132
CCR5_05_03_unrelaxed_rank_2_model_1: 0.9256 0.9171
CCR5_05_03_unrelaxed_rank_3_model_5: 0.9172 0.9186
CCR5_05_03_unrelaxed_rank_4_model_2: 0.9055 0.8990
CCR5_05_03_unrelaxed_rank_5_model_4: 0.9299 0.9278
CCR5_06_01_unrelaxed_rank_1_model_3: 0.9147 0.9709
CCR5_06_01_unrelaxed_rank_2_model_1: 0.8643 0.8439
CCR5_06_01_unrelaxed_rank_3_model_4: 0.9596 0.9280
CCR5_06_01_unrelaxed_rank_4_model_5: 0.9550 0.9389
CCR5_06_01_unrelaxed_rank_5_model_2: 0.9462 0.9278
CCR5_06_02_unrelaxed_rank_1_model_3: 0.9184 0.9737
CCR5_06_02_unrelaxed_rank_2_model_1: 0.9588 0.9308
CCR5_06_02_unrelaxed_rank_3_model_5: 0.9606 0.9410
CCR5_06_02_unrelaxed_rank_4_model_4: 0.9603 0.9321
CCR5_06_02_unrelaxed_rank_5_model_2: 0.9529 0.9313
CCR5_06_03_unrelaxed_rank_1_model_3: 0.9159 0.9720
CCR5_06_03_unrelaxed_rank_2_model_1: 0.8495 0.8383
CCR5_06_03_unrelaxed_rank_3_model_4: 0.9627 0.9318
CCR5_06_03_unrelaxed_rank_4_model_5: 0.9636 0.9357
CCR5_06_03_unrelaxed_rank_5_model_2: 0.9570 0.9298
CCR5_09_01_unrelaxed_rank_1_model_3: 0.9167 0.9367
CCR5_09_01_unrelaxed_rank_2_model_4: 0.9415 0.9404
CCR5_09_01_unrelaxed_rank_3_model_1: 0.9395 0.9362
CCR5_09_01_unrelaxed_rank_4_model_5: 0.9179 0.9310
CCR5_09_01_unrelaxed_rank_5_model_2: 0.9192 0.9212
CCR5_09_02_unrelaxed_rank_1_model_3: 0.9215 0.9388
CCR5_09_02_unrelaxed_rank_2_model_1: 0.9310 0.9323
CCR5_09_02_unrelaxed_rank_3_model_4: 0.9418 0.9396
CCR5_09_02_unrelaxed_rank_4_model_5: 0.9107 0.9191
CCR5_09_02_unrelaxed_rank_5_model_2: 0.8932 0.8994
CCR5_09_03_unrelaxed_rank_1_model_3: 0.9214 0.9393
CCR5_09_03_unrelaxed_rank_2_model_1: 0.9244 0.9286
CCR5_09_03_unrelaxed_rank_3_model_4: 0.9417 0.9410
CCR5_09_03_unrelaxed_rank_4_model_5: 0.8996 0.9097
CCR5_09_03_unrelaxed_rank_5_model_2: 0.8892 0.9012
CCR5_10_01_unrelaxed_rank_1_model_1: 0.9509 0.9497
CCR5_10_01_unrelaxed_rank_2_model_3: 0.9144 0.9703
CCR5_10_01_unrelaxed_rank_3_model_4: 0.9133 0.9680
CCR5_10_01_unrelaxed_rank_4_model_5: 0.9184 0.9700
CCR5_10_01_unrelaxed_rank_5_model_2: 0.9320 0.9660
CCR5_10_02_unrelaxed_rank_1_model_1: 0.9492 0.9499
CCR5_10_02_unrelaxed_rank_2_model_3: 0.9182 0.9709
CCR5_10_02_unrelaxed_rank_3_model_4: 0.9139 0.9685
CCR5_10_02_unrelaxed_rank_4_model_5: 0.9295 0.9584
CCR5_10_02_unrelaxed_rank_5_model_2: 0.9242 0.9706
CCR5_10_03_unrelaxed_rank_1_model_1: 0.9556 0.9470
CCR5_10_03_unrelaxed_rank_2_model_3: 0.9170 0.9696
CCR5_10_03_unrelaxed_rank_3_model_4: 0.9151 0.9667
CCR5_10_03_unrelaxed_rank_4_model_5: 0.9263 0.9602
CCR5_10_03_unrelaxed_rank_5_model_2: 0.9224 0.9707
CCR5_11_01_unrelaxed_rank_1_model_3: 0.9239 0.9736
CCR5_11_01_unrelaxed_rank_2_model_1: 0.9411 0.9540
CCR5_11_01_unrelaxed_rank_3_model_4: 0.9246 0.9740
CCR5_11_01_unrelaxed_rank_4_model_5: 0.9230 0.9764
CCR5_11_01_unrelaxed_rank_5_model_2: 0.9227 0.9691
CCR5_11_02_unrelaxed_rank_1_model_3: 0.9245 0.9729
CCR5_11_02_unrelaxed_rank_2_model_1: 0.9430 0.9510
CCR5_11_02_unrelaxed_rank_3_model_4: 0.9224 0.9758
CCR5_11_02_unrelaxed_rank_4_model_5: 0.9259 0.9745
CCR5_11_02_unrelaxed_rank_5_model_2: 0.9216 0.9710
CCR5_11_03_unrelaxed_rank_1_model_3: 0.9200 0.9755
CCR5_11_03_unrelaxed_rank_2_model_1: 0.9412 0.9555
CCR5_11_03_unrelaxed_rank_3_model_4: 0.9182 0.9782
CCR5_11_03_unrelaxed_rank_4_model_5: 0.9245 0.9735
CCR5_11_03_unrelaxed_rank_5_model_2: 0.9197 0.9721
CCR5_12_01_unrelaxed_rank_1_model_3: 0.9042 0.9585
CCR5_12_01_unrelaxed_rank_2_model_1: 0.9514 0.9312
CCR5_12_01_unrelaxed_rank_3_model_5: 0.9062 0.9581
CCR5_12_01_unrelaxed_rank_4_model_4: 0.9106 0.9612
CCR5_12_01_unrelaxed_rank_5_model_2: 0.9065 0.9565
CCR5_12_02_unrelaxed_rank_1_model_3: 0.9050 0.9589
CCR5_12_02_unrelaxed_rank_2_model_1: 0.9529 0.9323
CCR5_12_02_unrelaxed_rank_3_model_5: 0.9069 0.9586
CCR5_12_02_unrelaxed_rank_4_model_4: 0.9077 0.9617
CCR5_12_02_unrelaxed_rank_5_model_2: 0.9079 0.9569
CCR5_12_03_unrelaxed_rank_1_model_3: 0.9081 0.9598
CCR5_12_03_unrelaxed_rank_2_model_4: 0.9110 0.9625
CCR5_12_03_unrelaxed_rank_3_model_1: 0.9513 0.9318
CCR5_12_03_unrelaxed_rank_4_model_5: 0.9103 0.9584
CCR5_12_03_unrelaxed_rank_5_model_2: 0.9088 0.9570
CCR5_13_01_unrelaxed_rank_1_model_3: 0.9146 0.9756
CCR5_13_01_unrelaxed_rank_2_model_1: 0.9638 0.9459
CCR5_13_01_unrelaxed_rank_3_model_4: 0.9136 0.9780
CCR5_13_01_unrelaxed_rank_4_model_5: 0.9156 0.9744
CCR5_13_01_unrelaxed_rank_5_model_2: 0.9193 0.9741
CCR5_13_02_unrelaxed_rank_1_model_3: 0.9145 0.9744
CCR5_13_02_unrelaxed_rank_2_model_1: 0.9637 0.9454
CCR5_13_02_unrelaxed_rank_3_model_4: 0.9614 0.9525
CCR5_13_02_unrelaxed_rank_4_model_5: 0.9208 0.9717
CCR5_13_02_unrelaxed_rank_5_model_2: 0.9573 0.9433
CCR5_13_03_unrelaxed_rank_1_model_3: 0.9142 0.9751
CCR5_13_03_unrelaxed_rank_2_model_1: 0.9655 0.9461
CCR5_13_03_unrelaxed_rank_3_model_4: 0.9618 0.9522
CCR5_13_03_unrelaxed_rank_4_model_5: 0.9157 0.9737
CCR5_13_03_unrelaxed_rank_5_model_2: 0.9204 0.9731
CCR5_17_01_unrelaxed_rank_1_model_3: 0.9272 0.9781
CCR5_17_01_unrelaxed_rank_2_model_5: 0.9198 0.9696
CCR5_17_01_unrelaxed_rank_3_model_1: 0.9659 0.9419
CCR5_17_01_unrelaxed_rank_4_model_4: 0.9621 0.9376
CCR5_17_01_unrelaxed_rank_5_model_2: 0.9324 0.9756
CCR5_17_02_unrelaxed_rank_1_model_3: 0.9269 0.9784
CCR5_17_02_unrelaxed_rank_2_model_5: 0.9241 0.9755
CCR5_17_02_unrelaxed_rank_3_model_1: 0.9672 0.9466
CCR5_17_02_unrelaxed_rank_4_model_4: 0.9618 0.9388
CCR5_17_02_unrelaxed_rank_5_model_2: 0.9312 0.9766
CCR5_17_03_unrelaxed_rank_1_model_3: 0.9264 0.9781
CCR5_17_03_unrelaxed_rank_2_model_1: 0.9649 0.9429
CCR5_17_03_unrelaxed_rank_3_model_4: 0.9645 0.9463
CCR5_17_03_unrelaxed_rank_4_model_5: 0.9198 0.9713
CCR5_17_03_unrelaxed_rank_5_model_2: 0.9303 0.9782
CCR5_18_01_unrelaxed_rank_1_model_3: 0.9227 0.9757
CCR5_18_01_unrelaxed_rank_2_model_4: 0.9529 0.9343
CCR5_18_01_unrelaxed_rank_3_model_1: 0.8842 0.8785
CCR5_18_01_unrelaxed_rank_4_model_5: 0.9423 0.9194
CCR5_18_01_unrelaxed_rank_5_model_2: 0.9612 0.9312
CCR5_18_02_unrelaxed_rank_1_model_3: 0.9227 0.9502
CCR5_18_02_unrelaxed_rank_2_model_4: 0.9563 0.9413
CCR5_18_02_unrelaxed_rank_3_model_1: 0.8856 0.8764
CCR5_18_02_unrelaxed_rank_4_model_5: 0.9383 0.9133
CCR5_18_02_unrelaxed_rank_5_model_2: 0.9593 0.9305
CCR5_18_03_unrelaxed_rank_1_model_3: 0.9231 0.9762
CCR5_18_03_unrelaxed_rank_2_model_4: 0.9359 0.9454
CCR5_18_03_unrelaxed_rank_3_model_1: 0.9542 0.9363
CCR5_18_03_unrelaxed_rank_4_model_5: 0.9535 0.9487
CCR5_18_03_unrelaxed_rank_5_model_2: 0.9343 0.9599
CCR5_19_01_unrelaxed_rank_1_model_3: 0.9178 0.9723
CCR5_19_01_unrelaxed_rank_2_model_1: 0.9279 0.9538
CCR5_19_01_unrelaxed_rank_3_model_4: 0.9126 0.9683
CCR5_19_01_unrelaxed_rank_4_model_5: 0.9165 0.9700
CCR5_19_01_unrelaxed_rank_5_model_2: 0.9147 0.9695
CCR5_19_02_unrelaxed_rank_1_model_3: 0.9173 0.9715
CCR5_19_02_unrelaxed_rank_2_model_4: 0.9096 0.9666
CCR5_19_02_unrelaxed_rank_3_model_1: 0.9257 0.9521
CCR5_19_02_unrelaxed_rank_4_model_5: 0.9123 0.9683
CCR5_19_02_unrelaxed_rank_5_model_2: 0.9128 0.9683
CCR5_19_03_unrelaxed_rank_1_model_1: 0.9273 0.9520
CCR5_19_03_unrelaxed_rank_2_model_3: 0.9275 0.9723
CCR5_19_03_unrelaxed_rank_3_model_4: 0.9121 0.9700
CCR5_19_03_unrelaxed_rank_4_model_5: 0.9140 0.9692
CCR5_19_03_unrelaxed_rank_5_model_2: 0.9140 0.9701
CCR5_20_01_unrelaxed_rank_1_model_3: 0.9203 0.9787
CCR5_20_01_unrelaxed_rank_2_model_4: 0.9186 0.9802
CCR5_20_01_unrelaxed_rank_3_model_5: 0.9182 0.9780
CCR5_20_01_unrelaxed_rank_4_model_1: 0.9292 0.9738
CCR5_20_01_unrelaxed_rank_5_model_2: 0.9251 0.9753
CCR5_20_02_unrelaxed_rank_1_model_3: 0.9184 0.9792
CCR5_20_02_unrelaxed_rank_2_model_4: 0.9172 0.9795
CCR5_20_02_unrelaxed_rank_3_model_5: 0.9161 0.9774
CCR5_20_02_unrelaxed_rank_4_model_1: 0.9448 0.9577
CCR5_20_02_unrelaxed_rank_5_model_2: 0.9224 0.9750
CCR5_20_03_unrelaxed_rank_1_model_3: 0.9191 0.9780
CCR5_20_03_unrelaxed_rank_2_model_4: 0.9184 0.9805
CCR5_20_03_unrelaxed_rank_3_model_5: 0.9161 0.9772
CCR5_20_03_unrelaxed_rank_4_model_1: 0.9304 0.9719
CCR5_20_03_unrelaxed_rank_5_model_2: 0.9231 0.9748
CCR5_21_01_unrelaxed_rank_1_model_4: 0.9212 0.9681
CCR5_21_01_unrelaxed_rank_2_model_3: 0.9172 0.9682
CCR5_21_01_unrelaxed_rank_3_model_1: 0.9225 0.9645
CCR5_21_01_unrelaxed_rank_4_model_5: 0.9202 0.9665
CCR5_21_01_unrelaxed_rank_5_model_2: 0.9218 0.9625
CCR5_21_02_unrelaxed_rank_1_model_3: 0.9170 0.9684
CCR5_21_02_unrelaxed_rank_2_model_4: 0.9182 0.9675
CCR5_21_02_unrelaxed_rank_3_model_1: 0.9221 0.9639
CCR5_21_02_unrelaxed_rank_4_model_5: 0.9178 0.9683
CCR5_21_02_unrelaxed_rank_5_model_2: 0.9204 0.9618
CCR5_21_03_unrelaxed_rank_1_model_3: 0.9180 0.9696
CCR5_21_03_unrelaxed_rank_2_model_4: 0.9195 0.9676
CCR5_21_03_unrelaxed_rank_3_model_1: 0.9238 0.9660
CCR5_21_03_unrelaxed_rank_4_model_5: 0.9186 0.9664
CCR5_21_03_unrelaxed_rank_5_model_2: 0.9206 0.9612
CCR5_22_01_unrelaxed_rank_1_model_1: 0.9320 0.9223
CCR5_22_01_unrelaxed_rank_2_model_3: 0.8596 0.8552
CCR5_22_01_unrelaxed_rank_3_model_5: 0.9079 0.9001
CCR5_22_01_unrelaxed_rank_4_model_4: 0.9263 0.9071
CCR5_22_01_unrelaxed_rank_5_model_2: 0.9161 0.9046
CCR5_22_02_unrelaxed_rank_1_model_3: 0.9221 0.9191
CCR5_22_02_unrelaxed_rank_2_model_1: 0.7694 0.7627
CCR5_22_02_unrelaxed_rank_3_model_4: 0.9513 0.9249
CCR5_22_02_unrelaxed_rank_4_model_5: 0.8995 0.8558
CCR5_22_02_unrelaxed_rank_5_model_2: 0.9209 0.9029
CCR5_22_03_unrelaxed_rank_1_model_3: 0.9209 0.9219
CCR5_22_03_unrelaxed_rank_2_model_5: 0.9298 0.9129
CCR5_22_03_unrelaxed_rank_3_model_1: 0.7977 0.7852
CCR5_22_03_unrelaxed_rank_4_model_2: 0.9244 0.9052
CCR5_22_03_unrelaxed_rank_5_model_4: 0.9159 0.9018
CCR5_23_01_unrelaxed_rank_1_model_1: 0.8997 0.8911
CCR5_23_01_unrelaxed_rank_2_model_3: 0.8954 0.9424
CCR5_23_01_unrelaxed_rank_3_model_4: 0.9364 0.9136
CCR5_23_01_unrelaxed_rank_4_model_2: 0.8780 0.8717
CCR5_23_01_unrelaxed_rank_5_model_5: 0.9257 0.9084
CCR5_23_02_unrelaxed_rank_1_model_1: 0.9124 0.8963
CCR5_23_02_unrelaxed_rank_2_model_3: 0.9081 0.9233
CCR5_23_02_unrelaxed_rank_3_model_4: 0.9429 0.9196
CCR5_23_02_unrelaxed_rank_4_model_5: 0.9048 0.8898
CCR5_23_02_unrelaxed_rank_5_model_2: 0.9047 0.8855
CCR5_23_03_unrelaxed_rank_1_model_3: 0.8971 0.9431
CCR5_23_03_unrelaxed_rank_2_model_1: 0.9096 0.8977
CCR5_23_03_unrelaxed_rank_3_model_5: 0.9346 0.9239
CCR5_23_03_unrelaxed_rank_4_model_2: 0.9012 0.8870
CCR5_23_03_unrelaxed_rank_5_model_4: 0.9431 0.9194
CCR5_24_01_unrelaxed_rank_1_model_3: 0.9104 0.9724
CCR5_24_01_unrelaxed_rank_2_model_5: 0.9059 0.9664
CCR5_24_01_unrelaxed_rank_3_model_1: 0.9603 0.9454
CCR5_24_01_unrelaxed_rank_4_model_4: 0.9560 0.9476
CCR5_24_01_unrelaxed_rank_5_model_2: 0.9025 0.9578
CCR5_24_02_unrelaxed_rank_1_model_3: 0.9106 0.9713
CCR5_24_02_unrelaxed_rank_2_model_5: 0.9053 0.9622
CCR5_24_02_unrelaxed_rank_3_model_4: 0.9204 0.9741
CCR5_24_02_unrelaxed_rank_4_model_1: 0.9592 0.9445
CCR5_24_02_unrelaxed_rank_5_model_2: 0.9180 0.9708
CCR5_24_03_unrelaxed_rank_1_model_3: 0.9107 0.9719
CCR5_24_03_unrelaxed_rank_2_model_5: 0.8981 0.9600
CCR5_24_03_unrelaxed_rank_3_model_4: 0.9152 0.9740
CCR5_24_03_unrelaxed_rank_4_model_1: 0.9530 0.9513
CCR5_24_03_unrelaxed_rank_5_model_2: 0.9072 0.9598
CCR5_25_01_unrelaxed_rank_1_model_3: 0.8987 0.9603
CCR5_25_01_unrelaxed_rank_2_model_5: 0.8921 0.9560
CCR5_25_01_unrelaxed_rank_3_model_4: 0.9004 0.9622
CCR5_25_01_unrelaxed_rank_4_model_1: 0.9466 0.9346
CCR5_25_01_unrelaxed_rank_5_model_2: 0.9344 0.9306
CCR5_25_02_unrelaxed_rank_1_model_3: 0.8995 0.9609
CCR5_25_02_unrelaxed_rank_2_model_5: 0.8922 0.9549
CCR5_25_02_unrelaxed_rank_3_model_4: 0.9400 0.9306
CCR5_25_02_unrelaxed_rank_4_model_1: 0.9429 0.9303
CCR5_25_02_unrelaxed_rank_5_model_2: 0.9381 0.9286
CCR5_25_03_unrelaxed_rank_1_model_3: 0.8997 0.9608
CCR5_25_03_unrelaxed_rank_2_model_5: 0.8922 0.9539
CCR5_25_03_unrelaxed_rank_3_model_1: 0.9443 0.9323
CCR5_25_03_unrelaxed_rank_4_model_4: 0.9380 0.9326
CCR5_25_03_unrelaxed_rank_5_model_2: 0.9402 0.9321
CCR5_26_01_unrelaxed_rank_1_model_3: 0.8924 0.8853
CCR5_26_01_unrelaxed_rank_2_model_1: 0.8698 0.8610
CCR5_26_01_unrelaxed_rank_3_model_5: 0.9139 0.9042
CCR5_26_01_unrelaxed_rank_4_model_4: 0.9228 0.9072
CCR5_26_01_unrelaxed_rank_5_model_2: 0.8731 0.8617
CCR5_26_02_unrelaxed_rank_1_model_3: 0.8947 0.8861
CCR5_26_02_unrelaxed_rank_2_model_1: 0.8783 0.8692
CCR5_26_02_unrelaxed_rank_3_model_4: 0.9238 0.9072
CCR5_26_02_unrelaxed_rank_4_model_2: 0.8793 0.8700
CCR5_26_02_unrelaxed_rank_5_model_5: 0.9261 0.9116
CCR5_26_03_unrelaxed_rank_1_model_3: 0.9182 0.9070
CCR5_26_03_unrelaxed_rank_2_model_1: 0.8838 0.8724
CCR5_26_03_unrelaxed_rank_3_model_5: 0.9119 0.9024
CCR5_26_03_unrelaxed_rank_4_model_4: 0.9246 0.9084
CCR5_26_03_unrelaxed_rank_5_model_2: 0.8800 0.8742
CCR5_27_01_unrelaxed_rank_1_model_1: 0.9218 0.9111
CCR5_27_01_unrelaxed_rank_2_model_3: 0.9569 0.9346
CCR5_27_01_unrelaxed_rank_3_model_2: 0.9236 0.9161
CCR5_27_01_unrelaxed_rank_4_model_4: 0.9464 0.9298
CCR5_27_01_unrelaxed_rank_5_model_5: 0.9370 0.9350
CCR5_27_02_unrelaxed_rank_1_model_1: 0.9248 0.9116
CCR5_27_02_unrelaxed_rank_2_model_3: 0.9560 0.9371
CCR5_27_02_unrelaxed_rank_3_model_2: 0.9224 0.9141
CCR5_27_02_unrelaxed_rank_4_model_5: 0.9260 0.9182
CCR5_27_02_unrelaxed_rank_5_model_4: 0.9468 0.9307
CCR5_27_03_unrelaxed_rank_1_model_1: 0.9259 0.9126
CCR5_27_03_unrelaxed_rank_2_model_3: 0.9585 0.9360
CCR5_27_03_unrelaxed_rank_3_model_2: 0.9165 0.9093
CCR5_27_03_unrelaxed_rank_4_model_4: 0.9441 0.9294
CCR5_27_03_unrelaxed_rank_5_model_5: 0.9316 0.9275
CCR5_28_01_unrelaxed_rank_1_model_3: 0.9150 0.9605
CCR5_28_01_unrelaxed_rank_2_model_1: 0.9565 0.9312
CCR5_28_01_unrelaxed_rank_3_model_4: 0.9555 0.9332
CCR5_28_01_unrelaxed_rank_4_model_5: 0.9512 0.9319
CCR5_28_01_unrelaxed_rank_5_model_2: 0.9486 0.9234
CCR5_28_02_unrelaxed_rank_1_model_3: 0.9177 0.9659
CCR5_28_02_unrelaxed_rank_2_model_1: 0.9581 0.9326
CCR5_28_02_unrelaxed_rank_3_model_4: 0.9527 0.9319
CCR5_28_02_unrelaxed_rank_4_model_5: 0.9155 0.9530
CCR5_28_02_unrelaxed_rank_5_model_2: 0.9485 0.9226
CCR5_28_03_unrelaxed_rank_1_model_3: 0.9166 0.9663
CCR5_28_03_unrelaxed_rank_2_model_1: 0.9577 0.9325
CCR5_28_03_unrelaxed_rank_3_model_4: 0.9532 0.9339
CCR5_28_03_unrelaxed_rank_4_model_5: 0.9527 0.9341
CCR5_28_03_unrelaxed_rank_5_model_2: 0.9476 0.9217
CCR5_29_01_unrelaxed_rank_1_model_3: 0.9203 0.9810
CCR5_29_01_unrelaxed_rank_2_model_5: 0.9198 0.9778
CCR5_29_01_unrelaxed_rank_3_model_4: 0.9651 0.9505
CCR5_29_01_unrelaxed_rank_4_model_1: 0.9113 0.8982
CCR5_29_01_unrelaxed_rank_5_model_2: 0.9271 0.9749
CCR5_29_02_unrelaxed_rank_1_model_3: 0.9179 0.9813
CCR5_29_02_unrelaxed_rank_2_model_5: 0.9184 0.9775
CCR5_29_02_unrelaxed_rank_3_model_1: 0.9640 0.9434
CCR5_29_02_unrelaxed_rank_4_model_4: 0.9641 0.9515
CCR5_29_02_unrelaxed_rank_5_model_2: 0.9263 0.9769
CCR5_29_03_unrelaxed_rank_1_model_3: 0.9192 0.9798
CCR5_29_03_unrelaxed_rank_2_model_4: 0.9196 0.9803
CCR5_29_03_unrelaxed_rank_3_model_5: 0.9195 0.9780
CCR5_29_03_unrelaxed_rank_4_model_1: 0.9048 0.8870
CCR5_29_03_unrelaxed_rank_5_model_2: 0.9256 0.9751
