[0.70869]: 6nc9p 5t77p
MurJ_10_02_unrelaxed_rank_3_model_4: 0.9498 0.7367
MurJ_10_02_unrelaxed_rank_4_model_3: 0.8179 0.8848
MurJ_10_02_unrelaxed_rank_5_model_1: 0.7943 0.9032
MurJ_10_03_unrelaxed_rank_1_model_5: 0.9411 0.7280
MurJ_10_03_unrelaxed_rank_2_model_3: 0.9466 0.7482
MurJ_10_03_unrelaxed_rank_3_model_2: 0.7944 0.9078
MurJ_10_03_unrelaxed_rank_4_model_4: 0.7939 0.7850
MurJ_10_03_unrelaxed_rank_5_model_1: 0.8497 0.8510
MurJ_11_01_unrelaxed_rank_1_model_3: 0.7809 0.9108
MurJ_11_01_unrelaxed_rank_2_model_5: 0.8854 0.7857
MurJ_11_01_unrelaxed_rank_3_model_1: 0.8789 0.8093
MurJ_11_01_unrelaxed_rank_4_model_2: 0.8994 0.7768
MurJ_11_01_unrelaxed_rank_5_model_4: 0.8868 0.7754
MurJ_11_02_unrelaxed_rank_1_model_3: 0.8376 0.8413
MurJ_11_02_unrelaxed_rank_2_model_2: 0.8990 0.7680
MurJ_11_02_unrelaxed_rank_3_model_4: 0.8337 0.7200
MurJ_11_02_unrelaxed_rank_4_model_5: 0.8567 0.6863
MurJ_11_02_unrelaxed_rank_5_model_1: 0.8314 0.7117
MurJ_11_03_unrelaxed_rank_1_model_3: 0.8731 0.8030
MurJ_11_03_unrelaxed_rank_2_model_5: 0.8855 0.7795
MurJ_11_03_unrelaxed_rank_3_model_2: 0.8958 0.7669
MurJ_11_03_unrelaxed_rank_4_model_4: 0.8408 0.7065
MurJ_11_03_unrelaxed_rank_5_model_1: 0.8721 0.8069
MurJ_12_01_unrelaxed_rank_1_model_3: 0.7835 0.8993
MurJ_12_01_unrelaxed_rank_2_model_5: 0.7850 0.9012
MurJ_12_01_unrelaxed_rank_3_model_2: 0.7824 0.8988
MurJ_12_01_unrelaxed_rank_4_model_1: 0.8136 0.8755
MurJ_12_01_unrelaxed_rank_5_model_4: 0.7224 0.8782
MurJ_12_02_unrelaxed_rank_1_model_3: 0.7817 0.9016
MurJ_12_02_unrelaxed_rank_2_model_5: 0.8177 0.8618
MurJ_12_02_unrelaxed_rank_3_model_4: 0.8319 0.8409
MurJ_12_02_unrelaxed_rank_4_model_1: 0.8079 0.8818
MurJ_12_02_unrelaxed_rank_5_model_2: 0.8023 0.8808
MurJ_12_03_unrelaxed_rank_1_model_3: 0.7860 0.8940
MurJ_12_03_unrelaxed_rank_2_model_5: 0.7782 0.9022
MurJ_12_03_unrelaxed_rank_3_model_2: 0.7889 0.8940
MurJ_12_03_unrelaxed_rank_4_model_4: 0.7124 0.8453
MurJ_12_03_unrelaxed_rank_5_model_1: 0.7284 0.8009
MurJ_13_01_unrelaxed_rank_1_model_3: 0.7829 0.9197
MurJ_13_01_unrelaxed_rank_2_model_5: 0.7658 0.9378
MurJ_13_01_unrelaxed_rank_3_model_2: 0.7995 0.9032
MurJ_13_01_unrelaxed_rank_4_model_4: 0.7932 0.9143
MurJ_13_01_unrelaxed_rank_5_model_1: 0.7942 0.9093
MurJ_13_02_unrelaxed_rank_1_model_3: 0.7693 0.9277
MurJ_13_02_unrelaxed_rank_2_model_5: 0.7871 0.9189
MurJ_13_02_unrelaxed_rank_3_model_2: 0.7956 0.9118
MurJ_13_02_unrelaxed_rank_4_model_1: 0.7626 0.8809
MurJ_13_02_unrelaxed_rank_5_model_4: 0.7308 0.8585
MurJ_13_03_unrelaxed_rank_1_model_3: 0.7867 0.9111
MurJ_13_03_unrelaxed_rank_2_model_4: 0.7863 0.9144
MurJ_13_03_unrelaxed_rank_3_model_5: 0.7764 0.9303
MurJ_13_03_unrelaxed_rank_4_model_2: 0.7934 0.9010
MurJ_13_03_unrelaxed_rank_5_model_1: 0.7891 0.9148
MurJ_14_01_unrelaxed_rank_1_model_5: 0.7731 0.9514
MurJ_14_01_unrelaxed_rank_2_model_3: 0.7687 0.9365
MurJ_14_01_unrelaxed_rank_3_model_4: 0.7309 0.8719
MurJ_14_01_unrelaxed_rank_4_model_2: 0.7822 0.9306
MurJ_14_01_unrelaxed_rank_5_model_1: 0.7620 0.9364
MurJ_14_02_unrelaxed_rank_1_model_3: 0.7644 0.9432
MurJ_14_02_unrelaxed_rank_2_model_5: 0.7774 0.9473
MurJ_14_02_unrelaxed_rank_3_model_4: 0.7763 0.9365
MurJ_14_02_unrelaxed_rank_4_model_1: 0.7618 0.8837
MurJ_14_02_unrelaxed_rank_5_model_2: 0.7909 0.9141
MurJ_14_03_unrelaxed_rank_1_model_3: 0.7623 0.9406
MurJ_14_03_unrelaxed_rank_2_model_5: 0.7729 0.9489
MurJ_14_03_unrelaxed_rank_3_model_4: 0.7769 0.9308
MurJ_14_03_unrelaxed_rank_4_model_2: 0.7856 0.9257
MurJ_14_03_unrelaxed_rank_5_model_1: 0.7623 0.9218
MurJ_15_01_unrelaxed_rank_1_model_3: 0.7695 0.9362
MurJ_15_01_unrelaxed_rank_2_model_5: 0.8350 0.8639
MurJ_15_01_unrelaxed_rank_3_model_1: 0.6871 0.8438
MurJ_15_01_unrelaxed_rank_4_model_2: 0.7950 0.8909
MurJ_15_01_unrelaxed_rank_5_model_4: 0.7562 0.8695
MurJ_15_02_unrelaxed_rank_1_model_3: 0.7906 0.9034
MurJ_15_02_unrelaxed_rank_2_model_5: 0.7184 0.8850
MurJ_15_02_unrelaxed_rank_3_model_4: 0.7392 0.8564
MurJ_15_02_unrelaxed_rank_4_model_2: 0.7860 0.9159
MurJ_15_02_unrelaxed_rank_5_model_1: 0.7019 0.8383
MurJ_15_03_unrelaxed_rank_1_model_3: 0.7839 0.9127
MurJ_15_03_unrelaxed_rank_2_model_5: 0.8573 0.8305
MurJ_15_03_unrelaxed_rank_3_model_2: 0.7848 0.9142
MurJ_15_03_unrelaxed_rank_4_model_1: 0.7977 0.8660
MurJ_15_03_unrelaxed_rank_5_model_4: 0.7379 0.8569
MurJ_16_01_unrelaxed_rank_1_model_4: 0.8790 0.8070
MurJ_16_01_unrelaxed_rank_2_model_5: 0.8808 0.8085
MurJ_16_01_unrelaxed_rank_3_model_3: 0.7717 0.9306
MurJ_16_01_unrelaxed_rank_4_model_1: 0.8843 0.8001
MurJ_16_01_unrelaxed_rank_5_model_2: 0.7912 0.9082
MurJ_16_02_unrelaxed_rank_1_model_3: 0.7804 0.9201
MurJ_16_02_unrelaxed_rank_2_model_1: 0.8899 0.7965
MurJ_16_02_unrelaxed_rank_3_model_5: 0.8916 0.8031
MurJ_16_02_unrelaxed_rank_4_model_2: 0.8034 0.8943
MurJ_16_02_unrelaxed_rank_5_model_4: 0.8165 0.7569
MurJ_16_03_unrelaxed_rank_1_model_3: 0.7677 0.9348
MurJ_16_03_unrelaxed_rank_2_model_1: 0.8843 0.8013
MurJ_16_03_unrelaxed_rank_3_model_4: 0.8695 0.8030
MurJ_16_03_unrelaxed_rank_4_model_5: 0.7984 0.9124
MurJ_16_03_unrelaxed_rank_5_model_2: 0.7894 0.9106
MurJ_17_01_unrelaxed_rank_1_model_5: 0.8717 0.7961
MurJ_17_01_unrelaxed_rank_2_model_1: 0.8645 0.8112
MurJ_17_01_unrelaxed_rank_3_model_4: 0.8622 0.8032
MurJ_17_01_unrelaxed_rank_4_model_3: 0.7796 0.9173
MurJ_17_01_unrelaxed_rank_5_model_2: 0.7920 0.8985
MurJ_17_02_unrelaxed_rank_1_model_5: 0.8795 0.7827
MurJ_17_02_unrelaxed_rank_2_model_1: 0.8789 0.7869
MurJ_17_02_unrelaxed_rank_3_model_3: 0.8294 0.8525
MurJ_17_02_unrelaxed_rank_4_model_2: 0.7930 0.9091
MurJ_17_02_unrelaxed_rank_5_model_4: 0.7903 0.7647
MurJ_17_03_unrelaxed_rank_1_model_5: 0.8767 0.7926
MurJ_17_03_unrelaxed_rank_2_model_3: 0.7434 0.8373
MurJ_17_03_unrelaxed_rank_3_model_4: 0.8559 0.7888
MurJ_17_03_unrelaxed_rank_4_model_2: 0.7902 0.8933
MurJ_17_03_unrelaxed_rank_5_model_1: 0.8283 0.8260
MurJ_18_01_unrelaxed_rank_1_model_3: 0.7653 0.9350
MurJ_18_01_unrelaxed_rank_2_model_2: 0.7775 0.9269
MurJ_18_01_unrelaxed_rank_3_model_4: 0.7667 0.8108
MurJ_18_01_unrelaxed_rank_4_model_5: 0.7363 0.8602
MurJ_18_01_unrelaxed_rank_5_model_1: 0.7423 0.8644
MurJ_18_02_unrelaxed_rank_1_model_3: 0.7595 0.9384
MurJ_18_02_unrelaxed_rank_2_model_5: 0.7980 0.9131
MurJ_18_02_unrelaxed_rank_3_model_2: 0.7799 0.9279
MurJ_18_02_unrelaxed_rank_4_model_4: 0.8073 0.8708
MurJ_18_02_unrelaxed_rank_5_model_1: 0.7468 0.8836
MurJ_18_03_unrelaxed_rank_1_model_3: 0.7577 0.9440
MurJ_18_03_unrelaxed_rank_2_model_4: 0.7839 0.9141
MurJ_18_03_unrelaxed_rank_3_model_5: 0.8065 0.8963
MurJ_18_03_unrelaxed_rank_4_model_2: 0.7825 0.9258
MurJ_18_03_unrelaxed_rank_5_model_1: 0.7449 0.8692
MurJ_19_01_unrelaxed_rank_1_model_3: 0.7801 0.9087
MurJ_19_01_unrelaxed_rank_2_model_5: 0.8475 0.8312
MurJ_19_01_unrelaxed_rank_3_model_4: 0.7813 0.7715
MurJ_19_01_unrelaxed_rank_4_model_2: 0.8107 0.8846
MurJ_19_01_unrelaxed_rank_5_model_1: 0.8329 0.7858
MurJ_19_02_unrelaxed_rank_1_model_3: 0.7869 0.9014
MurJ_19_02_unrelaxed_rank_2_model_5: 0.8581 0.8107
MurJ_19_02_unrelaxed_rank_3_model_4: 0.7830 0.7691
MurJ_19_02_unrelaxed_rank_4_model_2: 0.8061 0.8894
MurJ_19_02_unrelaxed_rank_5_model_1: 0.8517 0.8345
MurJ_19_03_unrelaxed_rank_1_model_3: 0.8012 0.8826
MurJ_19_03_unrelaxed_rank_2_model_5: 0.8491 0.8252
MurJ_19_03_unrelaxed_rank_3_model_1: 0.8525 0.8289
MurJ_19_03_unrelaxed_rank_4_model_4: 0.8376 0.8222
MurJ_19_03_unrelaxed_rank_5_model_2: 0.8089 0.8811
MurJ_20_01_unrelaxed_rank_1_model_3: 0.7826 0.9107
MurJ_20_01_unrelaxed_rank_2_model_4: 0.7967 0.9035
MurJ_20_01_unrelaxed_rank_3_model_5: 0.7882 0.9083
MurJ_20_01_unrelaxed_rank_4_model_2: 0.8046 0.8953
MurJ_20_01_unrelaxed_rank_5_model_1: 0.8200 0.8791
MurJ_20_02_unrelaxed_rank_1_model_3: 0.8133 0.8858
MurJ_20_02_unrelaxed_rank_2_model_5: 0.8166 0.8792
MurJ_20_02_unrelaxed_rank_3_model_2: 0.8020 0.8946
MurJ_20_02_unrelaxed_rank_4_model_4: 0.7413 0.8453
MurJ_20_02_unrelaxed_rank_5_model_1: 0.8281 0.8682
MurJ_20_03_unrelaxed_rank_1_model_3: 0.7807 0.9156
MurJ_20_03_unrelaxed_rank_2_model_2: 0.8060 0.8932
MurJ_20_03_unrelaxed_rank_3_model_5: 0.7951 0.9050
MurJ_20_03_unrelaxed_rank_4_model_4: 0.7368 0.8527
MurJ_20_03_unrelaxed_rank_5_model_1: 0.8069 0.8870
MurJ_21_01_unrelaxed_rank_1_model_3: 0.7641 0.9450
MurJ_21_01_unrelaxed_rank_2_model_2: 0.7911 0.9105
MurJ_21_01_unrelaxed_rank_3_model_1: 0.8072 0.8981
MurJ_21_01_unrelaxed_rank_4_model_5: 0.7687 0.9303
MurJ_21_01_unrelaxed_rank_5_model_4: 0.7572 0.8193
MurJ_21_02_unrelaxed_rank_1_model_3: 0.7624 0.9367
MurJ_21_02_unrelaxed_rank_2_model_2: 0.7854 0.9154
MurJ_21_02_unrelaxed_rank_3_model_4: 0.7477 0.8380
MurJ_21_02_unrelaxed_rank_4_model_1: 0.7957 0.7803
MurJ_21_02_unrelaxed_rank_5_model_5: 0.7193 0.8797
MurJ_21_03_unrelaxed_rank_1_model_3: 0.7738 0.9230
MurJ_21_03_unrelaxed_rank_2_model_5: 0.7987 0.9011
MurJ_21_03_unrelaxed_rank_3_model_4: 0.8369 0.8503
MurJ_21_03_unrelaxed_rank_4_model_2: 0.8038 0.8988
MurJ_21_03_unrelaxed_rank_5_model_1: 0.8202 0.8856
MurJ_22_01_unrelaxed_rank_1_model_5: 0.9583 0.7365
MurJ_22_01_unrelaxed_rank_2_model_3: 0.8200 0.8633
MurJ_22_01_unrelaxed_rank_3_model_4: 0.8913 0.6922
MurJ_22_01_unrelaxed_rank_4_model_2: 0.8853 0.8071
MurJ_22_01_unrelaxed_rank_5_model_1: 0.9518 0.7205
MurJ_22_02_unrelaxed_rank_1_model_5: 0.9530 0.7347
MurJ_22_02_unrelaxed_rank_2_model_3: 0.8043 0.8698
MurJ_22_02_unrelaxed_rank_3_model_1: 0.8657 0.8138
MurJ_22_02_unrelaxed_rank_4_model_2: 0.8320 0.8474
MurJ_22_02_unrelaxed_rank_5_model_4: 0.7903 0.7672
MurJ_22_03_unrelaxed_rank_1_model_5: 0.9533 0.7325
MurJ_22_03_unrelaxed_rank_2_model_3: 0.8353 0.8467
MurJ_22_03_unrelaxed_rank_3_model_4: 0.8916 0.6890
MurJ_22_03_unrelaxed_rank_4_model_2: 0.9506 0.7542
MurJ_22_03_unrelaxed_rank_5_model_1: 0.9530 0.7161
MurJ_23_01_unrelaxed_rank_1_model_3: 0.9463 0.7410
MurJ_23_01_unrelaxed_rank_2_model_2: 0.9456 0.7464
MurJ_23_01_unrelaxed_rank_3_model_4: 0.8869 0.6922
MurJ_23_01_unrelaxed_rank_4_model_5: 0.8819 0.6981
MurJ_23_01_unrelaxed_rank_5_model_1: 0.8845 0.6932
MurJ_23_02_unrelaxed_rank_1_model_3: 0.9398 0.7487
MurJ_23_02_unrelaxed_rank_2_model_2: 0.9437 0.7475
MurJ_23_02_unrelaxed_rank_3_model_5: 0.9427 0.7345
MurJ_23_02_unrelaxed_rank_4_model_4: 0.8914 0.6962
MurJ_23_02_unrelaxed_rank_5_model_1: 0.8818 0.6927
MurJ_23_03_unrelaxed_rank_1_model_3: 0.9456 0.7458
MurJ_23_03_unrelaxed_rank_2_model_2: 0.9485 0.7404
MurJ_23_03_unrelaxed_rank_3_model_5: 0.9496 0.7367
MurJ_23_03_unrelaxed_rank_4_model_1: 0.9510 0.7365
MurJ_23_03_unrelaxed_rank_5_model_4: 0.8930 0.6891
MurJ_24_01_unrelaxed_rank_1_model_3: 0.9122 0.7645
MurJ_24_01_unrelaxed_rank_2_model_1: 0.9272 0.7595
MurJ_24_01_unrelaxed_rank_3_model_5: 0.9274 0.7531
MurJ_24_01_unrelaxed_rank_4_model_2: 0.9225 0.7570
MurJ_24_01_unrelaxed_rank_5_model_4: 0.8609 0.7217
MurJ_24_02_unrelaxed_rank_1_model_3: 0.9208 0.7551
MurJ_24_02_unrelaxed_rank_2_model_1: 0.9261 0.7574
MurJ_24_02_unrelaxed_rank_3_model_2: 0.9259 0.7532
MurJ_24_02_unrelaxed_rank_4_model_5: 0.9309 0.7521
MurJ_24_02_unrelaxed_rank_5_model_4: 0.8656 0.7142
MurJ_24_03_unrelaxed_rank_1_model_3: 0.8550 0.7244
MurJ_24_03_unrelaxed_rank_2_model_2: 0.9244 0.7596
MurJ_24_03_unrelaxed_rank_3_model_5: 0.8612 0.7205
MurJ_24_03_unrelaxed_rank_4_model_1: 0.8547 0.7232
MurJ_24_03_unrelaxed_rank_5_model_4: 0.8605 0.7233
MurJ_25_01_unrelaxed_rank_1_model_3: 0.7618 0.9426
MurJ_25_01_unrelaxed_rank_2_model_5: 0.7383 0.9687
MurJ_25_01_unrelaxed_rank_3_model_4: 0.7075 0.8890
MurJ_25_01_unrelaxed_rank_4_model_1: 0.7080 0.8872
MurJ_25_01_unrelaxed_rank_5_model_2: 0.7490 0.9493
MurJ_25_02_unrelaxed_rank_1_model_3: 0.7699 0.9366
MurJ_25_02_unrelaxed_rank_2_model_5: 0.6958 0.8998
MurJ_25_02_unrelaxed_rank_3_model_4: 0.7384 0.9483
MurJ_25_02_unrelaxed_rank_4_model_2: 0.7520 0.9509
MurJ_25_02_unrelaxed_rank_5_model_1: 0.7080 0.8887
MurJ_25_03_unrelaxed_rank_1_model_3: 0.7610 0.9476
MurJ_25_03_unrelaxed_rank_2_model_5: 0.7348 0.9668
