[0.74656]: 6fhzp 3vvnp
PfMATE_07_02_unrelaxed_rank_2_model_4: 0.7146 0.9719
PfMATE_07_02_unrelaxed_rank_3_model_5: 0.7123 0.9712
PfMATE_07_02_unrelaxed_rank_4_model_2: 0.7052 0.9686
PfMATE_07_02_unrelaxed_rank_5_model_1: 0.7049 0.9626
PfMATE_07_03_unrelaxed_rank_1_model_3: 0.7118 0.9716
PfMATE_07_03_unrelaxed_rank_2_model_4: 0.7166 0.9730
PfMATE_07_03_unrelaxed_rank_3_model_5: 0.7110 0.9721
PfMATE_07_03_unrelaxed_rank_4_model_2: 0.7048 0.9674
PfMATE_07_03_unrelaxed_rank_5_model_1: 0.7040 0.9626
PfMATE_09_01_unrelaxed_rank_1_model_5: 0.7371 0.9742
PfMATE_09_01_unrelaxed_rank_2_model_2: 0.7343 0.9818
PfMATE_09_01_unrelaxed_rank_3_model_3: 0.7412 0.9848
PfMATE_09_01_unrelaxed_rank_4_model_4: 0.7445 0.9775
PfMATE_09_01_unrelaxed_rank_5_model_1: 0.7386 0.9817
PfMATE_09_02_unrelaxed_rank_1_model_5: 0.7380 0.9740
PfMATE_09_02_unrelaxed_rank_2_model_2: 0.7336 0.9808
PfMATE_09_02_unrelaxed_rank_3_model_3: 0.7391 0.9839
PfMATE_09_02_unrelaxed_rank_4_model_4: 0.7417 0.9774
PfMATE_09_02_unrelaxed_rank_5_model_1: 0.7379 0.9820
PfMATE_09_03_unrelaxed_rank_1_model_5: 0.7354 0.9733
PfMATE_09_03_unrelaxed_rank_2_model_2: 0.7323 0.9803
PfMATE_09_03_unrelaxed_rank_3_model_3: 0.7399 0.9852
PfMATE_09_03_unrelaxed_rank_4_model_4: 0.7422 0.9794
PfMATE_09_03_unrelaxed_rank_5_model_1: 0.7367 0.9815
PfMATE_10_01_unrelaxed_rank_1_model_4: 0.7261 0.9763
PfMATE_10_01_unrelaxed_rank_2_model_2: 0.7161 0.9796
PfMATE_10_01_unrelaxed_rank_3_model_3: 0.7212 0.9775
PfMATE_10_01_unrelaxed_rank_4_model_5: 0.7186 0.9752
PfMATE_10_01_unrelaxed_rank_5_model_1: 0.7242 0.9805
PfMATE_10_02_unrelaxed_rank_1_model_4: 0.7285 0.9786
PfMATE_10_02_unrelaxed_rank_2_model_3: 0.7256 0.9796
PfMATE_10_02_unrelaxed_rank_3_model_2: 0.7264 0.9799
PfMATE_10_02_unrelaxed_rank_4_model_1: 0.7270 0.9824
PfMATE_10_02_unrelaxed_rank_5_model_5: 0.7368 0.9765
PfMATE_10_03_unrelaxed_rank_1_model_2: 0.7218 0.9797
PfMATE_10_03_unrelaxed_rank_2_model_3: 0.7224 0.9778
PfMATE_10_03_unrelaxed_rank_3_model_4: 0.7287 0.9770
PfMATE_10_03_unrelaxed_rank_4_model_1: 0.7232 0.9800
PfMATE_10_03_unrelaxed_rank_5_model_5: 0.7319 0.9779
PfMATE_11_01_unrelaxed_rank_1_model_4: 0.7504 0.9921
PfMATE_11_01_unrelaxed_rank_2_model_3: 0.7408 0.9922
PfMATE_11_01_unrelaxed_rank_3_model_2: 0.7354 0.9897
PfMATE_11_01_unrelaxed_rank_4_model_5: 0.7457 0.9916
PfMATE_11_01_unrelaxed_rank_5_model_1: 0.7326 0.9880
PfMATE_11_02_unrelaxed_rank_1_model_4: 0.7480 0.9929
PfMATE_11_02_unrelaxed_rank_2_model_3: 0.7405 0.9919
PfMATE_11_02_unrelaxed_rank_3_model_2: 0.7347 0.9893
PfMATE_11_02_unrelaxed_rank_4_model_1: 0.7319 0.9876
PfMATE_11_02_unrelaxed_rank_5_model_5: 0.7433 0.9912
PfMATE_11_03_unrelaxed_rank_1_model_4: 0.7501 0.9929
PfMATE_11_03_unrelaxed_rank_2_model_3: 0.7420 0.9921
PfMATE_11_03_unrelaxed_rank_3_model_2: 0.7356 0.9896
PfMATE_11_03_unrelaxed_rank_4_model_1: 0.7326 0.9879
PfMATE_11_03_unrelaxed_rank_5_model_5: 0.7465 0.9914
PfMATE_12_01_unrelaxed_rank_1_model_4: 0.7544 0.9895
PfMATE_12_01_unrelaxed_rank_2_model_3: 0.7496 0.9884
PfMATE_12_01_unrelaxed_rank_3_model_5: 0.7509 0.9855
PfMATE_12_01_unrelaxed_rank_4_model_2: 0.7460 0.9872
PfMATE_12_01_unrelaxed_rank_5_model_1: 0.7447 0.9878
PfMATE_12_02_unrelaxed_rank_1_model_4: 0.7546 0.9898
PfMATE_12_02_unrelaxed_rank_2_model_5: 0.7513 0.9871
PfMATE_12_02_unrelaxed_rank_3_model_3: 0.7493 0.9893
PfMATE_12_02_unrelaxed_rank_4_model_2: 0.7440 0.9877
PfMATE_12_02_unrelaxed_rank_5_model_1: 0.7462 0.9884
PfMATE_12_03_unrelaxed_rank_1_model_4: 0.7537 0.9898
PfMATE_12_03_unrelaxed_rank_2_model_5: 0.7509 0.9868
PfMATE_12_03_unrelaxed_rank_3_model_3: 0.7503 0.9886
PfMATE_12_03_unrelaxed_rank_4_model_2: 0.7430 0.9876
PfMATE_12_03_unrelaxed_rank_5_model_1: 0.7442 0.9875
PfMATE_13_01_unrelaxed_rank_1_model_4: 0.7361 0.9908
PfMATE_13_01_unrelaxed_rank_2_model_5: 0.7403 0.9921
PfMATE_13_01_unrelaxed_rank_3_model_3: 0.7330 0.9900
PfMATE_13_01_unrelaxed_rank_4_model_2: 0.7322 0.9899
PfMATE_13_01_unrelaxed_rank_5_model_1: 0.7265 0.9867
PfMATE_13_02_unrelaxed_rank_1_model_4: 0.7355 0.9904
PfMATE_13_02_unrelaxed_rank_2_model_5: 0.7366 0.9901
PfMATE_13_02_unrelaxed_rank_3_model_2: 0.7345 0.9905
PfMATE_13_02_unrelaxed_rank_4_model_3: 0.7350 0.9904
PfMATE_13_02_unrelaxed_rank_5_model_1: 0.7282 0.9872
PfMATE_13_03_unrelaxed_rank_1_model_4: 0.7344 0.9901
PfMATE_13_03_unrelaxed_rank_2_model_5: 0.7358 0.9898
PfMATE_13_03_unrelaxed_rank_3_model_3: 0.7339 0.9900
PfMATE_13_03_unrelaxed_rank_4_model_2: 0.7315 0.9890
PfMATE_13_03_unrelaxed_rank_5_model_1: 0.7259 0.9861
PfMATE_14_01_unrelaxed_rank_1_model_4: 0.7372 0.9807
PfMATE_14_01_unrelaxed_rank_2_model_3: 0.7274 0.9763
PfMATE_14_01_unrelaxed_rank_3_model_5: 0.7261 0.9756
PfMATE_14_01_unrelaxed_rank_4_model_2: 0.7189 0.9718
PfMATE_14_01_unrelaxed_rank_5_model_1: 0.7298 0.9820
PfMATE_14_02_unrelaxed_rank_1_model_5: 0.7226 0.9739
PfMATE_14_02_unrelaxed_rank_2_model_3: 0.7264 0.9759
PfMATE_14_02_unrelaxed_rank_3_model_4: 0.7394 0.9815
PfMATE_14_02_unrelaxed_rank_4_model_2: 0.7198 0.9726
PfMATE_14_02_unrelaxed_rank_5_model_1: 0.7316 0.9829
PfMATE_14_03_unrelaxed_rank_1_model_4: 0.7381 0.9820
PfMATE_14_03_unrelaxed_rank_2_model_3: 0.7277 0.9769
PfMATE_14_03_unrelaxed_rank_3_model_5: 0.7241 0.9754
PfMATE_14_03_unrelaxed_rank_4_model_2: 0.7182 0.9719
PfMATE_14_03_unrelaxed_rank_5_model_1: 0.7290 0.9821
PfMATE_15_01_unrelaxed_rank_1_model_5: 0.7237 0.9849
PfMATE_15_01_unrelaxed_rank_2_model_3: 0.7299 0.9879
PfMATE_15_01_unrelaxed_rank_3_model_4: 0.7340 0.9896
PfMATE_15_01_unrelaxed_rank_4_model_2: 0.7221 0.9865
PfMATE_15_01_unrelaxed_rank_5_model_1: 0.7240 0.9838
PfMATE_15_02_unrelaxed_rank_1_model_5: 0.7269 0.9861
PfMATE_15_02_unrelaxed_rank_2_model_4: 0.7317 0.9888
PfMATE_15_02_unrelaxed_rank_3_model_3: 0.7304 0.9880
PfMATE_15_02_unrelaxed_rank_4_model_2: 0.7266 0.9863
PfMATE_15_02_unrelaxed_rank_5_model_1: 0.7241 0.9838
PfMATE_15_03_unrelaxed_rank_1_model_5: 0.7255 0.9858
PfMATE_15_03_unrelaxed_rank_2_model_3: 0.7304 0.9880
PfMATE_15_03_unrelaxed_rank_3_model_4: 0.7319 0.9890
PfMATE_15_03_unrelaxed_rank_4_model_2: 0.7248 0.9856
PfMATE_15_03_unrelaxed_rank_5_model_1: 0.7222 0.9831
PfMATE_17_01_unrelaxed_rank_1_model_5: 0.7359 0.9842
PfMATE_17_01_unrelaxed_rank_2_model_3: 0.7273 0.9827
PfMATE_17_01_unrelaxed_rank_3_model_4: 0.7369 0.9851
PfMATE_17_01_unrelaxed_rank_4_model_2: 0.7255 0.9813
PfMATE_17_01_unrelaxed_rank_5_model_1: 0.7291 0.9787
PfMATE_17_02_unrelaxed_rank_1_model_5: 0.7371 0.9856
PfMATE_17_02_unrelaxed_rank_2_model_3: 0.7303 0.9836
PfMATE_17_02_unrelaxed_rank_3_model_4: 0.7358 0.9845
PfMATE_17_02_unrelaxed_rank_4_model_2: 0.7237 0.9794
PfMATE_17_02_unrelaxed_rank_5_model_1: 0.7269 0.9778
PfMATE_17_03_unrelaxed_rank_1_model_5: 0.7329 0.9833
PfMATE_17_03_unrelaxed_rank_2_model_4: 0.7335 0.9828
PfMATE_17_03_unrelaxed_rank_3_model_3: 0.7282 0.9824
PfMATE_17_03_unrelaxed_rank_4_model_2: 0.7235 0.9796
PfMATE_17_03_unrelaxed_rank_5_model_1: 0.7268 0.9768
PfMATE_18_01_unrelaxed_rank_1_model_5: 0.7400 0.9866
PfMATE_18_01_unrelaxed_rank_2_model_3: 0.7348 0.9891
PfMATE_18_01_unrelaxed_rank_3_model_4: 0.7417 0.9900
PfMATE_18_01_unrelaxed_rank_4_model_2: 0.7347 0.9889
PfMATE_18_01_unrelaxed_rank_5_model_1: 0.7319 0.9868
PfMATE_18_02_unrelaxed_rank_1_model_5: 0.7401 0.9866
PfMATE_18_02_unrelaxed_rank_2_model_3: 0.7353 0.9890
PfMATE_18_02_unrelaxed_rank_3_model_4: 0.7439 0.9900
PfMATE_18_02_unrelaxed_rank_4_model_2: 0.7353 0.9890
PfMATE_18_02_unrelaxed_rank_5_model_1: 0.7360 0.9864
PfMATE_18_03_unrelaxed_rank_1_model_5: 0.7405 0.9867
PfMATE_18_03_unrelaxed_rank_2_model_3: 0.7340 0.9887
PfMATE_18_03_unrelaxed_rank_3_model_2: 0.7334 0.9884
PfMATE_18_03_unrelaxed_rank_4_model_4: 0.7430 0.9899
PfMATE_18_03_unrelaxed_rank_5_model_1: 0.7359 0.9868
PfMATE_19_01_unrelaxed_rank_1_model_5: 0.7404 0.9871
PfMATE_19_01_unrelaxed_rank_2_model_4: 0.7394 0.9893
PfMATE_19_01_unrelaxed_rank_3_model_2: 0.7353 0.9891
PfMATE_19_01_unrelaxed_rank_4_model_3: 0.7389 0.9904
PfMATE_19_01_unrelaxed_rank_5_model_1: 0.7340 0.9878
PfMATE_19_02_unrelaxed_rank_1_model_5: 0.7410 0.9870
PfMATE_19_02_unrelaxed_rank_2_model_4: 0.7379 0.9890
PfMATE_19_02_unrelaxed_rank_3_model_3: 0.7391 0.9901
PfMATE_19_02_unrelaxed_rank_4_model_2: 0.7393 0.9898
PfMATE_19_02_unrelaxed_rank_5_model_1: 0.7326 0.9869
PfMATE_19_03_unrelaxed_rank_1_model_5: 0.7392 0.9872
PfMATE_19_03_unrelaxed_rank_2_model_4: 0.7387 0.9893
PfMATE_19_03_unrelaxed_rank_3_model_3: 0.7376 0.9901
PfMATE_19_03_unrelaxed_rank_4_model_2: 0.7358 0.9894
PfMATE_19_03_unrelaxed_rank_5_model_1: 0.7315 0.9869
PfMATE_20_01_unrelaxed_rank_1_model_5: 0.7432 0.9871
PfMATE_20_01_unrelaxed_rank_2_model_2: 0.7361 0.9888
PfMATE_20_01_unrelaxed_rank_3_model_3: 0.7421 0.9904
PfMATE_20_01_unrelaxed_rank_4_model_1: 0.7349 0.9859
PfMATE_20_01_unrelaxed_rank_5_model_4: 0.7435 0.9905
PfMATE_20_02_unrelaxed_rank_1_model_3: 0.7408 0.9905
PfMATE_20_02_unrelaxed_rank_2_model_5: 0.7437 0.9887
PfMATE_20_02_unrelaxed_rank_3_model_2: 0.7352 0.9887
PfMATE_20_02_unrelaxed_rank_4_model_4: 0.7423 0.9905
PfMATE_20_02_unrelaxed_rank_5_model_1: 0.7334 0.9872
PfMATE_20_03_unrelaxed_rank_1_model_2: 0.7340 0.9877
PfMATE_20_03_unrelaxed_rank_2_model_5: 0.7416 0.9879
PfMATE_20_03_unrelaxed_rank_3_model_4: 0.7424 0.9901
PfMATE_20_03_unrelaxed_rank_4_model_1: 0.7344 0.9866
PfMATE_20_03_unrelaxed_rank_5_model_3: 0.7422 0.9908
PfMATE_21_01_unrelaxed_rank_1_model_5: 0.7380 0.9844
PfMATE_21_01_unrelaxed_rank_2_model_3: 0.7370 0.9900
PfMATE_21_01_unrelaxed_rank_3_model_2: 0.7301 0.9872
PfMATE_21_01_unrelaxed_rank_4_model_4: 0.7464 0.9900
PfMATE_21_01_unrelaxed_rank_5_model_1: 0.7290 0.9862
PfMATE_21_02_unrelaxed_rank_1_model_2: 0.7284 0.9862
PfMATE_21_02_unrelaxed_rank_2_model_3: 0.7336 0.9890
PfMATE_21_02_unrelaxed_rank_3_model_5: 0.7373 0.9845
PfMATE_21_02_unrelaxed_rank_4_model_4: 0.7439 0.9893
PfMATE_21_02_unrelaxed_rank_5_model_1: 0.7281 0.9857
PfMATE_21_03_unrelaxed_rank_1_model_4: 0.7445 0.9889
PfMATE_21_03_unrelaxed_rank_2_model_2: 0.7292 0.9858
PfMATE_21_03_unrelaxed_rank_3_model_3: 0.7335 0.9893
PfMATE_21_03_unrelaxed_rank_4_model_5: 0.7367 0.9839
PfMATE_21_03_unrelaxed_rank_5_model_1: 0.7330 0.9855
PfMATE_22_01_unrelaxed_rank_1_model_5: 0.7151 0.9649
PfMATE_22_01_unrelaxed_rank_2_model_4: 0.7204 0.9688
PfMATE_22_01_unrelaxed_rank_3_model_2: 0.7167 0.9698
PfMATE_22_01_unrelaxed_rank_4_model_3: 0.7218 0.9728
PfMATE_22_01_unrelaxed_rank_5_model_1: 0.7169 0.9682
PfMATE_22_02_unrelaxed_rank_1_model_5: 0.7189 0.9663
PfMATE_22_02_unrelaxed_rank_2_model_4: 0.7206 0.9678
PfMATE_22_02_unrelaxed_rank_3_model_3: 0.7207 0.9713
PfMATE_22_02_unrelaxed_rank_4_model_2: 0.7148 0.9683
PfMATE_22_02_unrelaxed_rank_5_model_1: 0.7134 0.9664
PfMATE_22_03_unrelaxed_rank_1_model_5: 0.7204 0.9684
PfMATE_22_03_unrelaxed_rank_2_model_4: 0.7264 0.9703
PfMATE_22_03_unrelaxed_rank_3_model_3: 0.7247 0.9737
PfMATE_22_03_unrelaxed_rank_4_model_2: 0.7136 0.9695
PfMATE_22_03_unrelaxed_rank_5_model_1: 0.7192 0.9705
PfMATE_24_01_unrelaxed_rank_1_model_5: 0.7228 0.9762
PfMATE_24_01_unrelaxed_rank_2_model_4: 0.7219 0.9856
PfMATE_24_01_unrelaxed_rank_3_model_3: 0.7221 0.9848
PfMATE_24_01_unrelaxed_rank_4_model_2: 0.7203 0.9725
PfMATE_24_01_unrelaxed_rank_5_model_1: 0.7194 0.9725
PfMATE_24_02_unrelaxed_rank_1_model_5: 0.7226 0.9787
PfMATE_24_02_unrelaxed_rank_2_model_3: 0.7239 0.9849
PfMATE_24_02_unrelaxed_rank_3_model_4: 0.7224 0.9836
PfMATE_24_02_unrelaxed_rank_4_model_2: 0.7301 0.9772
PfMATE_24_02_unrelaxed_rank_5_model_1: 0.7213 0.9757
PfMATE_24_03_unrelaxed_rank_1_model_5: 0.7278 0.9766
PfMATE_24_03_unrelaxed_rank_2_model_4: 0.7269 0.9855
PfMATE_24_03_unrelaxed_rank_3_model_3: 0.7278 0.9851
PfMATE_24_03_unrelaxed_rank_4_model_2: 0.7182 0.9788
PfMATE_24_03_unrelaxed_rank_5_model_1: 0.7202 0.9759
PfMATE_25_01_unrelaxed_rank_1_model_5: 0.7188 0.9781
PfMATE_25_01_unrelaxed_rank_2_model_4: 0.7227 0.9804
PfMATE_25_01_unrelaxed_rank_3_model_3: 0.7159 0.9764
PfMATE_25_01_unrelaxed_rank_4_model_2: 0.7163 0.9748
PfMATE_25_01_unrelaxed_rank_5_model_1: 0.7180 0.9743
PfMATE_25_02_unrelaxed_rank_1_model_5: 0.7169 0.9779
PfMATE_25_02_unrelaxed_rank_2_model_4: 0.7178 0.9785
PfMATE_25_02_unrelaxed_rank_3_model_3: 0.7129 0.9752
PfMATE_25_02_unrelaxed_rank_4_model_2: 0.7151 0.9760
PfMATE_25_02_unrelaxed_rank_5_model_1: 0.7205 0.9756
PfMATE_25_03_unrelaxed_rank_1_model_5: 0.7193 0.9792
PfMATE_25_03_unrelaxed_rank_2_model_4: 0.7176 0.9779
PfMATE_25_03_unrelaxed_rank_3_model_3: 0.7142 0.9754
PfMATE_25_03_unrelaxed_rank_4_model_2: 0.7158 0.9762
PfMATE_25_03_unrelaxed_rank_5_model_1: 0.7209 0.9763
PfMATE_26_01_unrelaxed_rank_1_model_5: 0.7370 0.9905
PfMATE_26_01_unrelaxed_rank_2_model_4: 0.7419 0.9928
PfMATE_26_01_unrelaxed_rank_3_model_3: 0.7358 0.9890
PfMATE_26_01_unrelaxed_rank_4_model_2: 0.7364 0.9887
PfMATE_26_01_unrelaxed_rank_5_model_1: 0.7377 0.9893
PfMATE_26_02_unrelaxed_rank_1_model_5: 0.7352 0.9899
PfMATE_26_02_unrelaxed_rank_2_model_4: 0.7382 0.9916
PfMATE_26_02_unrelaxed_rank_3_model_2: 0.7361 0.9889
PfMATE_26_02_unrelaxed_rank_4_model_3: 0.7332 0.9879
PfMATE_26_02_unrelaxed_rank_5_model_1: 0.7365 0.9890
PfMATE_26_03_unrelaxed_rank_1_model_5: 0.7364 0.9901
PfMATE_26_03_unrelaxed_rank_2_model_4: 0.7415 0.9924
PfMATE_26_03_unrelaxed_rank_3_model_2: 0.7360 0.9888
PfMATE_26_03_unrelaxed_rank_4_model_3: 0.7334 0.9875
PfMATE_26_03_unrelaxed_rank_5_model_1: 0.7364 0.9888
PfMATE_27_01_unrelaxed_rank_1_model_5: 0.7367 0.9895
PfMATE_27_01_unrelaxed_rank_2_model_4: 0.7377 0.9906
PfMATE_27_01_unrelaxed_rank_3_model_2: 0.7321 0.9880
PfMATE_27_01_unrelaxed_rank_4_model_3: 0.7327 0.9895
PfMATE_27_01_unrelaxed_rank_5_model_1: 0.7343 0.9880
PfMATE_27_02_unrelaxed_rank_1_model_5: 0.7372 0.9891
PfMATE_27_02_unrelaxed_rank_2_model_4: 0.7405 0.9910
PfMATE_27_02_unrelaxed_rank_3_model_2: 0.7330 0.9884
PfMATE_27_02_unrelaxed_rank_4_model_3: 0.7360 0.9905
PfMATE_27_02_unrelaxed_rank_5_model_1: 0.7359 0.9886
PfMATE_27_03_unrelaxed_rank_1_model_5: 0.7369 0.9895
PfMATE_27_03_unrelaxed_rank_2_model_4: 0.7409 0.9910
PfMATE_27_03_unrelaxed_rank_3_model_2: 0.7321 0.9884
PfMATE_27_03_unrelaxed_rank_4_model_3: 0.7323 0.9893
PfMATE_27_03_unrelaxed_rank_5_model_1: 0.7352 0.9880
PfMATE_28_01_unrelaxed_rank_1_model_4: 0.7370 0.9857
PfMATE_28_01_unrelaxed_rank_2_model_5: 0.7309 0.9833
