[0.84737]: 7kntr 6uvar
CGRPR_12_02_unrelaxed_rank_1_model_3: 0.8195 0.9058
CGRPR_12_02_unrelaxed_rank_2_model_1: 0.8276 0.9113
CGRPR_12_02_unrelaxed_rank_3_model_2: 0.8194 0.9107
CGRPR_12_02_unrelaxed_rank_4_model_4: 0.8350 0.8991
CGRPR_12_02_unrelaxed_rank_5_model_5: 0.8196 0.9032
CGRPR_12_03_unrelaxed_rank_1_model_3: 0.8213 0.9066
CGRPR_12_03_unrelaxed_rank_2_model_4: 0.8314 0.9074
CGRPR_12_03_unrelaxed_rank_3_model_1: 0.8293 0.9027
CGRPR_12_03_unrelaxed_rank_4_model_5: 0.8171 0.9032
CGRPR_12_03_unrelaxed_rank_5_model_2: 0.8196 0.9116
CGRPR_13_01_unrelaxed_rank_1_model_3: 0.8225 0.8881
CGRPR_13_01_unrelaxed_rank_2_model_1: 0.8217 0.8919
CGRPR_13_01_unrelaxed_rank_3_model_2: 0.8233 0.8983
CGRPR_13_01_unrelaxed_rank_4_model_5: 0.8126 0.8739
CGRPR_13_01_unrelaxed_rank_5_model_4: 0.8243 0.8900
CGRPR_13_02_unrelaxed_rank_1_model_3: 0.8268 0.8863
CGRPR_13_02_unrelaxed_rank_2_model_1: 0.8282 0.8941
CGRPR_13_02_unrelaxed_rank_3_model_2: 0.8234 0.8976
CGRPR_13_02_unrelaxed_rank_4_model_5: 0.8035 0.8733
CGRPR_13_02_unrelaxed_rank_5_model_4: 0.8172 0.8574
CGRPR_13_03_unrelaxed_rank_1_model_3: 0.8260 0.8826
CGRPR_13_03_unrelaxed_rank_2_model_1: 0.8213 0.8900
CGRPR_13_03_unrelaxed_rank_3_model_2: 0.8237 0.8972
CGRPR_13_03_unrelaxed_rank_4_model_4: 0.8194 0.8752
CGRPR_13_03_unrelaxed_rank_5_model_5: 0.7991 0.8309
CGRPR_14_01_unrelaxed_rank_1_model_3: 0.8149 0.9010
CGRPR_14_01_unrelaxed_rank_2_model_1: 0.8186 0.8867
CGRPR_14_01_unrelaxed_rank_3_model_4: 0.8306 0.8797
CGRPR_14_01_unrelaxed_rank_4_model_5: 0.8093 0.8749
CGRPR_14_01_unrelaxed_rank_5_model_2: 0.8115 0.8938
CGRPR_14_02_unrelaxed_rank_1_model_3: 0.8160 0.9006
CGRPR_14_02_unrelaxed_rank_2_model_4: 0.8319 0.8991
CGRPR_14_02_unrelaxed_rank_3_model_2: 0.8175 0.8988
CGRPR_14_02_unrelaxed_rank_4_model_1: 0.8229 0.8873
CGRPR_14_02_unrelaxed_rank_5_model_5: 0.8055 0.8730
CGRPR_14_03_unrelaxed_rank_1_model_3: 0.8162 0.8992
CGRPR_14_03_unrelaxed_rank_2_model_5: 0.8086 0.8833
CGRPR_14_03_unrelaxed_rank_3_model_1: 0.8204 0.8804
CGRPR_14_03_unrelaxed_rank_4_model_4: 0.8218 0.8759
CGRPR_14_03_unrelaxed_rank_5_model_2: 0.8119 0.8958
CGRPR_15_01_unrelaxed_rank_1_model_3: 0.8028 0.8825
CGRPR_15_01_unrelaxed_rank_2_model_4: 0.8109 0.8778
CGRPR_15_01_unrelaxed_rank_3_model_2: 0.7986 0.8783
CGRPR_15_01_unrelaxed_rank_4_model_5: 0.7980 0.8669
CGRPR_15_01_unrelaxed_rank_5_model_1: 0.6923 0.7003
CGRPR_15_02_unrelaxed_rank_1_model_3: 0.8056 0.8810
CGRPR_15_02_unrelaxed_rank_2_model_4: 0.8122 0.8769
CGRPR_15_02_unrelaxed_rank_3_model_2: 0.8001 0.8792
CGRPR_15_02_unrelaxed_rank_4_model_5: 0.7936 0.8604
CGRPR_15_02_unrelaxed_rank_5_model_1: 0.6830 0.7151
CGRPR_15_03_unrelaxed_rank_1_model_3: 0.8041 0.8780
CGRPR_15_03_unrelaxed_rank_2_model_5: 0.7991 0.8789
CGRPR_15_03_unrelaxed_rank_3_model_4: 0.8141 0.8687
CGRPR_15_03_unrelaxed_rank_4_model_2: 0.7995 0.8776
CGRPR_15_03_unrelaxed_rank_5_model_1: 0.8044 0.8795
CGRPR_16_01_unrelaxed_rank_1_model_3: 0.8133 0.9050
CGRPR_16_01_unrelaxed_rank_2_model_4: 0.8230 0.8972
CGRPR_16_01_unrelaxed_rank_3_model_5: 0.8161 0.8981
CGRPR_16_01_unrelaxed_rank_4_model_2: 0.8080 0.8961
CGRPR_16_01_unrelaxed_rank_5_model_1: 0.6251 0.6593
CGRPR_16_02_unrelaxed_rank_1_model_3: 0.8216 0.9017
CGRPR_16_02_unrelaxed_rank_2_model_4: 0.8277 0.8970
CGRPR_16_02_unrelaxed_rank_3_model_2: 0.8119 0.8989
CGRPR_16_02_unrelaxed_rank_4_model_5: 0.8090 0.8807
CGRPR_16_02_unrelaxed_rank_5_model_1: 0.6012 0.6284
CGRPR_16_03_unrelaxed_rank_1_model_3: 0.8160 0.9043
CGRPR_16_03_unrelaxed_rank_2_model_4: 0.8211 0.8980
CGRPR_16_03_unrelaxed_rank_3_model_5: 0.8123 0.8975
CGRPR_16_03_unrelaxed_rank_4_model_2: 0.8067 0.8982
CGRPR_16_03_unrelaxed_rank_5_model_1: 0.7162 0.7443
CGRPR_17_01_unrelaxed_rank_1_model_3: 0.8248 0.8528
CGRPR_17_01_unrelaxed_rank_2_model_5: 0.8309 0.8874
CGRPR_17_01_unrelaxed_rank_3_model_4: 0.8236 0.8469
CGRPR_17_01_unrelaxed_rank_4_model_1: 0.7180 0.7102
CGRPR_17_01_unrelaxed_rank_5_model_2: 0.7992 0.8451
CGRPR_17_02_unrelaxed_rank_1_model_3: 0.8219 0.8546
CGRPR_17_02_unrelaxed_rank_2_model_5: 0.8277 0.8880
CGRPR_17_02_unrelaxed_rank_3_model_4: 0.8126 0.8415
CGRPR_17_02_unrelaxed_rank_4_model_1: 0.7009 0.7033
CGRPR_17_02_unrelaxed_rank_5_model_2: 0.8021 0.8412
CGRPR_17_03_unrelaxed_rank_1_model_3: 0.8346 0.8587
CGRPR_17_03_unrelaxed_rank_2_model_5: 0.8283 0.8884
CGRPR_17_03_unrelaxed_rank_3_model_4: 0.8299 0.8545
CGRPR_17_03_unrelaxed_rank_4_model_1: 0.7227 0.7294
CGRPR_17_03_unrelaxed_rank_5_model_2: 0.8108 0.8482
CGRPR_18_01_unrelaxed_rank_1_model_1: 0.6837 0.6876
CGRPR_18_01_unrelaxed_rank_2_model_2: 0.8192 0.8645
CGRPR_18_01_unrelaxed_rank_3_model_4: 0.8398 0.8840
CGRPR_18_01_unrelaxed_rank_4_model_3: 0.8347 0.8731
CGRPR_18_01_unrelaxed_rank_5_model_5: 0.8258 0.8824
CGRPR_18_02_unrelaxed_rank_1_model_2: 0.8152 0.8623
CGRPR_18_02_unrelaxed_rank_2_model_3: 0.8336 0.8795
CGRPR_18_02_unrelaxed_rank_3_model_5: 0.8376 0.8846
CGRPR_18_02_unrelaxed_rank_4_model_4: 0.8418 0.8823
CGRPR_18_02_unrelaxed_rank_5_model_1: 0.6784 0.7175
CGRPR_18_03_unrelaxed_rank_1_model_1: 0.8083 0.8591
CGRPR_18_03_unrelaxed_rank_2_model_3: 0.8303 0.8730
CGRPR_18_03_unrelaxed_rank_3_model_5: 0.8345 0.8845
CGRPR_18_03_unrelaxed_rank_4_model_2: 0.8167 0.8652
CGRPR_18_03_unrelaxed_rank_5_model_4: 0.8428 0.8826
CGRPR_19_01_unrelaxed_rank_1_model_3: 0.8190 0.9124
CGRPR_19_01_unrelaxed_rank_2_model_4: 0.8319 0.9020
CGRPR_19_01_unrelaxed_rank_3_model_5: 0.8257 0.9117
CGRPR_19_01_unrelaxed_rank_4_model_2: 0.8234 0.9082
CGRPR_19_01_unrelaxed_rank_5_model_1: 0.7155 0.7309
CGRPR_19_02_unrelaxed_rank_1_model_3: 0.8209 0.9141
CGRPR_19_02_unrelaxed_rank_2_model_1: 0.8253 0.9036
CGRPR_19_02_unrelaxed_rank_3_model_4: 0.8274 0.9021
CGRPR_19_02_unrelaxed_rank_4_model_5: 0.8267 0.9083
CGRPR_19_02_unrelaxed_rank_5_model_2: 0.8196 0.9053
CGRPR_19_03_unrelaxed_rank_1_model_3: 0.8210 0.9124
CGRPR_19_03_unrelaxed_rank_2_model_1: 0.8304 0.9036
CGRPR_19_03_unrelaxed_rank_3_model_2: 0.8237 0.9052
CGRPR_19_03_unrelaxed_rank_4_model_4: 0.8310 0.8972
CGRPR_19_03_unrelaxed_rank_5_model_5: 0.8465 0.8911
CGRPR_20_01_unrelaxed_rank_1_model_3: 0.8213 0.9093
CGRPR_20_01_unrelaxed_rank_2_model_4: 0.8347 0.9014
CGRPR_20_01_unrelaxed_rank_3_model_1: 0.8320 0.9024
CGRPR_20_01_unrelaxed_rank_4_model_5: 0.8207 0.9074
CGRPR_20_01_unrelaxed_rank_5_model_2: 0.8172 0.9058
CGRPR_20_02_unrelaxed_rank_1_model_3: 0.8247 0.9067
CGRPR_20_02_unrelaxed_rank_2_model_5: 0.8256 0.9067
CGRPR_20_02_unrelaxed_rank_3_model_4: 0.8337 0.8981
CGRPR_20_02_unrelaxed_rank_4_model_2: 0.8228 0.9039
CGRPR_20_02_unrelaxed_rank_5_model_1: 0.7086 0.7178
CGRPR_20_03_unrelaxed_rank_1_model_3: 0.8220 0.9108
CGRPR_20_03_unrelaxed_rank_2_model_4: 0.8394 0.8930
CGRPR_20_03_unrelaxed_rank_3_model_5: 0.8227 0.9061
CGRPR_20_03_unrelaxed_rank_4_model_2: 0.8147 0.9044
CGRPR_20_03_unrelaxed_rank_5_model_1: 0.7186 0.7238
CGRPR_21_01_unrelaxed_rank_1_model_3: 0.8339 0.8916
CGRPR_21_01_unrelaxed_rank_2_model_1: 0.8431 0.8898
CGRPR_21_01_unrelaxed_rank_3_model_5: 0.8387 0.8899
CGRPR_21_01_unrelaxed_rank_4_model_4: 0.8413 0.8880
CGRPR_21_01_unrelaxed_rank_5_model_2: 0.8306 0.8876
CGRPR_21_02_unrelaxed_rank_1_model_3: 0.8388 0.8915
CGRPR_21_02_unrelaxed_rank_2_model_5: 0.8270 0.8933
CGRPR_21_02_unrelaxed_rank_3_model_1: 0.8440 0.8897
CGRPR_21_02_unrelaxed_rank_4_model_4: 0.8419 0.8884
CGRPR_21_02_unrelaxed_rank_5_model_2: 0.8388 0.8875
CGRPR_21_03_unrelaxed_rank_1_model_3: 0.8314 0.8913
CGRPR_21_03_unrelaxed_rank_2_model_5: 0.8274 0.8915
CGRPR_21_03_unrelaxed_rank_3_model_1: 0.8424 0.8902
CGRPR_21_03_unrelaxed_rank_4_model_4: 0.8418 0.8877
CGRPR_21_03_unrelaxed_rank_5_model_2: 0.8342 0.8904
CGRPR_22_01_unrelaxed_rank_1_model_3: 0.8018 0.8711
CGRPR_22_01_unrelaxed_rank_2_model_1: 0.7449 0.7943
CGRPR_22_01_unrelaxed_rank_3_model_5: 0.7915 0.8651
CGRPR_22_01_unrelaxed_rank_4_model_4: 0.8024 0.8720
CGRPR_22_01_unrelaxed_rank_5_model_2: 0.7811 0.8555
CGRPR_22_02_unrelaxed_rank_1_model_3: 0.7927 0.8641
CGRPR_22_02_unrelaxed_rank_2_model_5: 0.7975 0.8662
CGRPR_22_02_unrelaxed_rank_3_model_4: 0.8108 0.8709
CGRPR_22_02_unrelaxed_rank_4_model_1: 0.7455 0.7950
CGRPR_22_02_unrelaxed_rank_5_model_2: 0.7848 0.8630
CGRPR_22_03_unrelaxed_rank_1_model_3: 0.7989 0.8707
CGRPR_22_03_unrelaxed_rank_2_model_1: 0.7470 0.8036
CGRPR_22_03_unrelaxed_rank_3_model_2: 0.7772 0.8559
CGRPR_22_03_unrelaxed_rank_4_model_4: 0.7987 0.8718
CGRPR_22_03_unrelaxed_rank_5_model_5: 0.7978 0.8719
CGRPR_23_01_unrelaxed_rank_1_model_3: 0.8258 0.9091
CGRPR_23_01_unrelaxed_rank_2_model_1: 0.8307 0.9082
CGRPR_23_01_unrelaxed_rank_3_model_5: 0.8254 0.9053
CGRPR_23_01_unrelaxed_rank_4_model_4: 0.8353 0.8961
CGRPR_23_01_unrelaxed_rank_5_model_2: 0.8264 0.9088
CGRPR_23_02_unrelaxed_rank_1_model_3: 0.8317 0.9081
CGRPR_23_02_unrelaxed_rank_2_model_4: 0.8392 0.8933
CGRPR_23_02_unrelaxed_rank_3_model_2: 0.8260 0.9059
CGRPR_23_02_unrelaxed_rank_4_model_5: 0.8294 0.8982
CGRPR_23_02_unrelaxed_rank_5_model_1: 0.7184 0.7238
CGRPR_23_03_unrelaxed_rank_1_model_3: 0.8260 0.9095
CGRPR_23_03_unrelaxed_rank_2_model_4: 0.8334 0.9055
CGRPR_23_03_unrelaxed_rank_3_model_5: 0.8252 0.9067
CGRPR_23_03_unrelaxed_rank_4_model_2: 0.8241 0.9067
CGRPR_23_03_unrelaxed_rank_5_model_1: 0.8318 0.9045
CGRPR_25_01_unrelaxed_rank_1_model_3: 0.8058 0.8669
CGRPR_25_01_unrelaxed_rank_2_model_1: 0.7266 0.7480
CGRPR_25_01_unrelaxed_rank_3_model_4: 0.7554 0.8223
CGRPR_25_01_unrelaxed_rank_4_model_5: 0.7598 0.8225
CGRPR_25_01_unrelaxed_rank_5_model_2: 0.6694 0.7286
CGRPR_25_02_unrelaxed_rank_1_model_3: 0.8036 0.8675
CGRPR_25_02_unrelaxed_rank_2_model_1: 0.7212 0.7391
CGRPR_25_02_unrelaxed_rank_3_model_4: 0.7555 0.8187
CGRPR_25_02_unrelaxed_rank_4_model_5: 0.7428 0.8185
CGRPR_25_02_unrelaxed_rank_5_model_2: 0.6974 0.7803
CGRPR_25_03_unrelaxed_rank_1_model_1: 0.7191 0.7315
CGRPR_25_03_unrelaxed_rank_2_model_3: 0.8027 0.8716
CGRPR_25_03_unrelaxed_rank_3_model_4: 0.7481 0.8197
CGRPR_25_03_unrelaxed_rank_4_model_5: 0.7661 0.8247
CGRPR_25_03_unrelaxed_rank_5_model_2: 0.6695 0.7269
