[0.83469]: 6nbfp 6fj3p
PTH1R_07_01_unrelaxed_rank_2_model_1: 0.9407 0.8743
PTH1R_07_01_unrelaxed_rank_3_model_5: 0.9399 0.8535
PTH1R_07_01_unrelaxed_rank_4_model_4: 0.9099 0.8709
PTH1R_07_01_unrelaxed_rank_5_model_2: 0.9229 0.8414
PTH1R_07_02_unrelaxed_rank_1_model_3: 0.9090 0.8747
PTH1R_07_02_unrelaxed_rank_2_model_1: 0.9426 0.8691
PTH1R_07_02_unrelaxed_rank_3_model_4: 0.9170 0.8745
PTH1R_07_02_unrelaxed_rank_4_model_5: 0.9198 0.8768
PTH1R_07_02_unrelaxed_rank_5_model_2: 0.9270 0.8424
PTH1R_07_03_unrelaxed_rank_1_model_3: 0.9238 0.8610
PTH1R_07_03_unrelaxed_rank_2_model_1: 0.9407 0.8779
PTH1R_07_03_unrelaxed_rank_3_model_4: 0.9127 0.8778
PTH1R_07_03_unrelaxed_rank_4_model_5: 0.9382 0.8545
PTH1R_07_03_unrelaxed_rank_5_model_2: 0.9078 0.8471
PTH1R_08_01_unrelaxed_rank_1_model_3: 0.9202 0.8576
PTH1R_08_01_unrelaxed_rank_2_model_4: 0.9175 0.8722
PTH1R_08_01_unrelaxed_rank_3_model_1: 0.9408 0.8727
PTH1R_08_01_unrelaxed_rank_4_model_5: 0.9332 0.8686
PTH1R_08_01_unrelaxed_rank_5_model_2: 0.9169 0.8550
PTH1R_08_02_unrelaxed_rank_1_model_3: 0.9126 0.8672
PTH1R_08_02_unrelaxed_rank_2_model_4: 0.9154 0.8693
PTH1R_08_02_unrelaxed_rank_3_model_1: 0.9435 0.8667
PTH1R_08_02_unrelaxed_rank_4_model_5: 0.9328 0.8645
PTH1R_08_02_unrelaxed_rank_5_model_2: 0.9128 0.8550
PTH1R_08_03_unrelaxed_rank_1_model_3: 0.9186 0.8573
PTH1R_08_03_unrelaxed_rank_2_model_1: 0.9438 0.8651
PTH1R_08_03_unrelaxed_rank_3_model_4: 0.9177 0.8692
PTH1R_08_03_unrelaxed_rank_4_model_5: 0.9348 0.8622
PTH1R_08_03_unrelaxed_rank_5_model_2: 0.9326 0.8410
PTH1R_09_01_unrelaxed_rank_1_model_3: 0.9097 0.8629
PTH1R_09_01_unrelaxed_rank_2_model_1: 0.9410 0.8683
PTH1R_09_01_unrelaxed_rank_3_model_4: 0.9151 0.8721
PTH1R_09_01_unrelaxed_rank_4_model_5: 0.9402 0.8512
PTH1R_09_01_unrelaxed_rank_5_model_2: 0.9121 0.8499
PTH1R_09_02_unrelaxed_rank_1_model_3: 0.9090 0.8650
PTH1R_09_02_unrelaxed_rank_2_model_1: 0.9406 0.8716
PTH1R_09_02_unrelaxed_rank_3_model_4: 0.9215 0.8742
PTH1R_09_02_unrelaxed_rank_4_model_5: 0.9237 0.8679
PTH1R_09_02_unrelaxed_rank_5_model_2: 0.9086 0.8493
PTH1R_09_03_unrelaxed_rank_1_model_3: 0.9185 0.8559
PTH1R_09_03_unrelaxed_rank_2_model_1: 0.9395 0.8708
PTH1R_09_03_unrelaxed_rank_3_model_4: 0.9149 0.8691
PTH1R_09_03_unrelaxed_rank_4_model_5: 0.9314 0.8660
PTH1R_09_03_unrelaxed_rank_5_model_2: 0.9099 0.8484
PTH1R_11_01_unrelaxed_rank_1_model_3: 0.8249 0.8234
PTH1R_11_01_unrelaxed_rank_2_model_1: 0.8359 0.8283
PTH1R_11_01_unrelaxed_rank_3_model_2: 0.7874 0.8116
PTH1R_11_01_unrelaxed_rank_4_model_5: 0.7898 0.7734
PTH1R_11_01_unrelaxed_rank_5_model_4: 0.8099 0.8336
PTH1R_11_02_unrelaxed_rank_1_model_3: 0.8229 0.8254
PTH1R_11_02_unrelaxed_rank_2_model_1: 0.8549 0.8312
PTH1R_11_02_unrelaxed_rank_3_model_5: 0.7958 0.7722
PTH1R_11_02_unrelaxed_rank_4_model_2: 0.7958 0.8120
PTH1R_11_02_unrelaxed_rank_5_model_4: 0.8326 0.8342
PTH1R_11_03_unrelaxed_rank_1_model_3: 0.8192 0.8262
PTH1R_11_03_unrelaxed_rank_2_model_1: 0.8451 0.8315
PTH1R_11_03_unrelaxed_rank_3_model_2: 0.7913 0.8116
PTH1R_11_03_unrelaxed_rank_4_model_5: 0.7926 0.7781
PTH1R_11_03_unrelaxed_rank_5_model_4: 0.8161 0.8411
PTH1R_13_01_unrelaxed_rank_1_model_3: 0.9152 0.8686
PTH1R_13_01_unrelaxed_rank_2_model_5: 0.9420 0.8489
PTH1R_13_01_unrelaxed_rank_3_model_1: 0.9431 0.8531
PTH1R_13_01_unrelaxed_rank_4_model_4: 0.9373 0.8569
PTH1R_13_01_unrelaxed_rank_5_model_2: 0.9285 0.8409
PTH1R_13_02_unrelaxed_rank_1_model_3: 0.9279 0.8494
PTH1R_13_02_unrelaxed_rank_2_model_5: 0.9417 0.8485
PTH1R_13_02_unrelaxed_rank_3_model_2: 0.9270 0.8340
PTH1R_13_02_unrelaxed_rank_4_model_1: 0.9433 0.8650
PTH1R_13_02_unrelaxed_rank_5_model_4: 0.9387 0.8479
PTH1R_13_03_unrelaxed_rank_1_model_3: 0.9343 0.8489
PTH1R_13_03_unrelaxed_rank_2_model_5: 0.9461 0.8524
PTH1R_13_03_unrelaxed_rank_3_model_2: 0.9275 0.8329
PTH1R_13_03_unrelaxed_rank_4_model_4: 0.9256 0.8739
PTH1R_13_03_unrelaxed_rank_5_model_1: 0.9409 0.8630
PTH1R_14_01_unrelaxed_rank_1_model_3: 0.9059 0.8635
PTH1R_14_01_unrelaxed_rank_2_model_1: 0.9108 0.8635
PTH1R_14_01_unrelaxed_rank_3_model_4: 0.9062 0.8611
PTH1R_14_01_unrelaxed_rank_4_model_5: 0.9286 0.8402
PTH1R_14_01_unrelaxed_rank_5_model_2: 0.9026 0.8483
PTH1R_14_02_unrelaxed_rank_1_model_3: 0.9071 0.8683
PTH1R_14_02_unrelaxed_rank_2_model_1: 0.9271 0.8481
PTH1R_14_02_unrelaxed_rank_3_model_4: 0.9050 0.8595
PTH1R_14_02_unrelaxed_rank_4_model_5: 0.9265 0.8410
PTH1R_14_02_unrelaxed_rank_5_model_2: 0.9041 0.8507
PTH1R_14_03_unrelaxed_rank_1_model_3: 0.9005 0.8662
PTH1R_14_03_unrelaxed_rank_2_model_1: 0.9117 0.8639
PTH1R_14_03_unrelaxed_rank_3_model_4: 0.9079 0.8578
PTH1R_14_03_unrelaxed_rank_4_model_2: 0.9048 0.8449
PTH1R_14_03_unrelaxed_rank_5_model_5: 0.9251 0.8393
PTH1R_15_01_unrelaxed_rank_1_model_3: 0.8883 0.8093
PTH1R_15_01_unrelaxed_rank_2_model_1: 0.8394 0.7949
PTH1R_15_01_unrelaxed_rank_3_model_4: 0.8830 0.8232
PTH1R_15_01_unrelaxed_rank_4_model_2: 0.8760 0.8390
PTH1R_15_01_unrelaxed_rank_5_model_5: 0.8517 0.8125
PTH1R_15_02_unrelaxed_rank_1_model_3: 0.8628 0.8090
PTH1R_15_02_unrelaxed_rank_2_model_1: 0.8431 0.8015
PTH1R_15_02_unrelaxed_rank_3_model_4: 0.8541 0.8317
PTH1R_15_02_unrelaxed_rank_4_model_5: 0.8567 0.7996
PTH1R_15_02_unrelaxed_rank_5_model_2: 0.8754 0.8371
PTH1R_15_03_unrelaxed_rank_1_model_3: 0.8669 0.8224
PTH1R_15_03_unrelaxed_rank_2_model_1: 0.8509 0.8002
PTH1R_15_03_unrelaxed_rank_3_model_4: 0.8589 0.8263
PTH1R_15_03_unrelaxed_rank_4_model_5: 0.8553 0.8040
PTH1R_15_03_unrelaxed_rank_5_model_2: 0.8704 0.8435
PTH1R_17_01_unrelaxed_rank_1_model_3: 0.8809 0.8372
PTH1R_17_01_unrelaxed_rank_2_model_1: 0.9125 0.8323
PTH1R_17_01_unrelaxed_rank_3_model_2: 0.8733 0.8153
PTH1R_17_01_unrelaxed_rank_4_model_5: 0.8931 0.8339
PTH1R_17_01_unrelaxed_rank_5_model_4: 0.8788 0.8486
PTH1R_17_02_unrelaxed_rank_1_model_3: 0.8980 0.8215
PTH1R_17_02_unrelaxed_rank_2_model_1: 0.9159 0.8526
PTH1R_17_02_unrelaxed_rank_3_model_2: 0.8853 0.8055
PTH1R_17_02_unrelaxed_rank_4_model_4: 0.8867 0.8498
PTH1R_17_02_unrelaxed_rank_5_model_5: 0.8920 0.8330
PTH1R_17_03_unrelaxed_rank_1_model_3: 0.8808 0.8377
PTH1R_17_03_unrelaxed_rank_2_model_1: 0.9203 0.8385
PTH1R_17_03_unrelaxed_rank_3_model_5: 0.8952 0.8478
PTH1R_17_03_unrelaxed_rank_4_model_4: 0.8875 0.8499
PTH1R_17_03_unrelaxed_rank_5_model_2: 0.8793 0.8214
PTH1R_18_01_unrelaxed_rank_1_model_3: 0.9036 0.8512
PTH1R_18_01_unrelaxed_rank_2_model_1: 0.8583 0.8229
PTH1R_18_01_unrelaxed_rank_3_model_5: 0.9180 0.8405
PTH1R_18_01_unrelaxed_rank_4_model_4: 0.9016 0.8526
PTH1R_18_01_unrelaxed_rank_5_model_2: 0.9149 0.8466
PTH1R_18_02_unrelaxed_rank_1_model_3: 0.9169 0.8461
PTH1R_18_02_unrelaxed_rank_2_model_1: 0.8564 0.8166
PTH1R_18_02_unrelaxed_rank_3_model_2: 0.9078 0.8470
PTH1R_18_02_unrelaxed_rank_4_model_4: 0.9193 0.8618
PTH1R_18_02_unrelaxed_rank_5_model_5: 0.9191 0.8448
PTH1R_18_03_unrelaxed_rank_1_model_3: 0.9013 0.8545
PTH1R_18_03_unrelaxed_rank_2_model_1: 0.8458 0.8154
PTH1R_18_03_unrelaxed_rank_3_model_2: 0.8971 0.8544
PTH1R_18_03_unrelaxed_rank_4_model_4: 0.8910 0.8554
PTH1R_18_03_unrelaxed_rank_5_model_5: 0.9113 0.8443
PTH1R_19_01_unrelaxed_rank_1_model_3: 0.8943 0.8707
PTH1R_19_01_unrelaxed_rank_2_model_5: 0.9149 0.8680
PTH1R_19_01_unrelaxed_rank_3_model_1: 0.9264 0.8790
PTH1R_19_01_unrelaxed_rank_4_model_2: 0.9032 0.8733
PTH1R_19_01_unrelaxed_rank_5_model_4: 0.8973 0.8740
PTH1R_19_02_unrelaxed_rank_1_model_3: 0.8951 0.8735
PTH1R_19_02_unrelaxed_rank_2_model_5: 0.9128 0.8659
PTH1R_19_02_unrelaxed_rank_3_model_1: 0.9175 0.8800
PTH1R_19_02_unrelaxed_rank_4_model_2: 0.9058 0.8792
PTH1R_19_02_unrelaxed_rank_5_model_4: 0.8977 0.8834
PTH1R_19_03_unrelaxed_rank_1_model_3: 0.8925 0.8731
PTH1R_19_03_unrelaxed_rank_2_model_1: 0.9308 0.8794
PTH1R_19_03_unrelaxed_rank_3_model_2: 0.9058 0.8782
PTH1R_19_03_unrelaxed_rank_4_model_5: 0.9109 0.8702
PTH1R_19_03_unrelaxed_rank_5_model_4: 0.8844 0.8670
PTH1R_20_01_unrelaxed_rank_1_model_3: 0.9205 0.8576
PTH1R_20_01_unrelaxed_rank_2_model_1: 0.9250 0.8661
PTH1R_20_01_unrelaxed_rank_3_model_5: 0.9203 0.8659
PTH1R_20_01_unrelaxed_rank_4_model_2: 0.9207 0.8511
PTH1R_20_01_unrelaxed_rank_5_model_4: 0.9194 0.8646
PTH1R_20_02_unrelaxed_rank_1_model_3: 0.9236 0.8563
PTH1R_20_02_unrelaxed_rank_2_model_1: 0.9320 0.8638
PTH1R_20_02_unrelaxed_rank_3_model_5: 0.9234 0.8650
PTH1R_20_02_unrelaxed_rank_4_model_4: 0.9215 0.8641
PTH1R_20_02_unrelaxed_rank_5_model_2: 0.9141 0.8501
PTH1R_20_03_unrelaxed_rank_1_model_3: 0.9270 0.8570
PTH1R_20_03_unrelaxed_rank_2_model_1: 0.9300 0.8654
PTH1R_20_03_unrelaxed_rank_3_model_5: 0.9216 0.8646
PTH1R_20_03_unrelaxed_rank_4_model_4: 0.9269 0.8602
PTH1R_20_03_unrelaxed_rank_5_model_2: 0.9223 0.8506
PTH1R_21_01_unrelaxed_rank_1_model_3: 0.9310 0.8488
PTH1R_21_01_unrelaxed_rank_2_model_1: 0.9432 0.8666
PTH1R_21_01_unrelaxed_rank_3_model_5: 0.9342 0.8612
PTH1R_21_01_unrelaxed_rank_4_model_4: 0.9150 0.8709
PTH1R_21_01_unrelaxed_rank_5_model_2: 0.9170 0.8555
PTH1R_21_02_unrelaxed_rank_1_model_3: 0.9342 0.8481
PTH1R_21_02_unrelaxed_rank_2_model_5: 0.9369 0.8593
PTH1R_21_02_unrelaxed_rank_3_model_4: 0.9153 0.8746
PTH1R_21_02_unrelaxed_rank_4_model_1: 0.9405 0.8693
PTH1R_21_02_unrelaxed_rank_5_model_2: 0.9199 0.8553
PTH1R_21_03_unrelaxed_rank_1_model_3: 0.9304 0.8550
PTH1R_21_03_unrelaxed_rank_2_model_1: 0.9375 0.8735
PTH1R_21_03_unrelaxed_rank_3_model_4: 0.9128 0.8720
PTH1R_21_03_unrelaxed_rank_4_model_5: 0.9281 0.8649
PTH1R_21_03_unrelaxed_rank_5_model_2: 0.9188 0.8589
PTH1R_22_01_unrelaxed_rank_1_model_3: 0.9337 0.8495
PTH1R_22_01_unrelaxed_rank_2_model_1: 0.9333 0.8731
PTH1R_22_01_unrelaxed_rank_3_model_5: 0.9270 0.8668
PTH1R_22_01_unrelaxed_rank_4_model_4: 0.9187 0.8708
PTH1R_22_01_unrelaxed_rank_5_model_2: 0.9345 0.8431
PTH1R_22_02_unrelaxed_rank_1_model_3: 0.9412 0.8523
PTH1R_22_02_unrelaxed_rank_2_model_1: 0.9312 0.8736
PTH1R_22_02_unrelaxed_rank_3_model_4: 0.9228 0.8745
PTH1R_22_02_unrelaxed_rank_4_model_5: 0.9269 0.8659
PTH1R_22_02_unrelaxed_rank_5_model_2: 0.9315 0.8478
PTH1R_22_03_unrelaxed_rank_1_model_3: 0.9268 0.8501
PTH1R_22_03_unrelaxed_rank_2_model_1: 0.9345 0.8702
PTH1R_22_03_unrelaxed_rank_3_model_5: 0.9335 0.8576
PTH1R_22_03_unrelaxed_rank_4_model_4: 0.9174 0.8721
PTH1R_22_03_unrelaxed_rank_5_model_2: 0.9342 0.8456
PTH1R_23_01_unrelaxed_rank_1_model_3: 0.8868 0.9003
PTH1R_23_01_unrelaxed_rank_2_model_1: 0.9087 0.8826
PTH1R_23_01_unrelaxed_rank_3_model_5: 0.9147 0.8862
PTH1R_23_01_unrelaxed_rank_4_model_2: 0.9084 0.8791
PTH1R_23_01_unrelaxed_rank_5_model_4: 0.8967 0.8681
PTH1R_23_02_unrelaxed_rank_1_model_3: 0.8859 0.8961
PTH1R_23_02_unrelaxed_rank_2_model_1: 0.9208 0.8792
PTH1R_23_02_unrelaxed_rank_3_model_5: 0.9157 0.8712
PTH1R_23_02_unrelaxed_rank_4_model_2: 0.9023 0.8597
PTH1R_23_02_unrelaxed_rank_5_model_4: 0.9062 0.8755
PTH1R_23_03_unrelaxed_rank_1_model_3: 0.8894 0.8936
PTH1R_23_03_unrelaxed_rank_2_model_1: 0.9180 0.8813
PTH1R_23_03_unrelaxed_rank_3_model_5: 0.9122 0.8873
PTH1R_23_03_unrelaxed_rank_4_model_2: 0.9149 0.8786
PTH1R_23_03_unrelaxed_rank_5_model_4: 0.9047 0.8831
PTH1R_24_01_unrelaxed_rank_1_model_4: 0.9170 0.8691
PTH1R_24_01_unrelaxed_rank_2_model_3: 0.9077 0.8785
PTH1R_24_01_unrelaxed_rank_3_model_5: 0.9234 0.8646
PTH1R_24_01_unrelaxed_rank_4_model_1: 0.9266 0.8691
PTH1R_24_01_unrelaxed_rank_5_model_2: 0.9156 0.8537
PTH1R_24_02_unrelaxed_rank_1_model_3: 0.9048 0.8822
PTH1R_24_02_unrelaxed_rank_2_model_4: 0.9121 0.8742
PTH1R_24_02_unrelaxed_rank_3_model_5: 0.9231 0.8654
PTH1R_24_02_unrelaxed_rank_4_model_1: 0.9275 0.8713
PTH1R_24_02_unrelaxed_rank_5_model_2: 0.9177 0.8566
PTH1R_24_03_unrelaxed_rank_1_model_3: 0.9061 0.8813
PTH1R_24_03_unrelaxed_rank_2_model_4: 0.9119 0.8688
PTH1R_24_03_unrelaxed_rank_3_model_5: 0.9218 0.8640
PTH1R_24_03_unrelaxed_rank_4_model_1: 0.9235 0.8743
PTH1R_24_03_unrelaxed_rank_5_model_2: 0.9142 0.8535
PTH1R_25_01_unrelaxed_rank_1_model_3: 0.9160 0.8652
PTH1R_25_01_unrelaxed_rank_2_model_1: 0.9424 0.8716
PTH1R_25_01_unrelaxed_rank_3_model_4: 0.9153 0.8713
PTH1R_25_01_unrelaxed_rank_4_model_5: 0.9339 0.8668
PTH1R_25_01_unrelaxed_rank_5_model_2: 0.9169 0.8562
PTH1R_25_02_unrelaxed_rank_1_model_3: 0.9063 0.8649
PTH1R_25_02_unrelaxed_rank_2_model_5: 0.9397 0.8492
PTH1R_25_02_unrelaxed_rank_3_model_4: 0.9129 0.8737
PTH1R_25_02_unrelaxed_rank_4_model_1: 0.9396 0.8731
PTH1R_25_02_unrelaxed_rank_5_model_2: 0.9304 0.8433
PTH1R_25_03_unrelaxed_rank_1_model_3: 0.9162 0.8675
PTH1R_25_03_unrelaxed_rank_2_model_1: 0.9424 0.8692
PTH1R_25_03_unrelaxed_rank_3_model_4: 0.9143 0.8708
PTH1R_25_03_unrelaxed_rank_4_model_5: 0.9326 0.8690
PTH1R_25_03_unrelaxed_rank_5_model_2: 0.9165 0.8547
PTH1R_26_01_unrelaxed_rank_1_model_1: 0.7966 0.7673
PTH1R_26_01_unrelaxed_rank_2_model_3: 0.8707 0.8694
PTH1R_26_01_unrelaxed_rank_3_model_4: 0.8734 0.8475
PTH1R_26_01_unrelaxed_rank_4_model_5: 0.8765 0.8430
PTH1R_26_01_unrelaxed_rank_5_model_2: 0.8863 0.8244
PTH1R_26_02_unrelaxed_rank_1_model_3: 0.8810 0.8623
PTH1R_26_02_unrelaxed_rank_2_model_1: 0.7939 0.7644
PTH1R_26_02_unrelaxed_rank_3_model_4: 0.8759 0.8426
PTH1R_26_02_unrelaxed_rank_4_model_5: 0.8775 0.8449
PTH1R_26_02_unrelaxed_rank_5_model_2: 0.8959 0.8327
PTH1R_26_03_unrelaxed_rank_1_model_3: 0.8740 0.8713
PTH1R_26_03_unrelaxed_rank_2_model_1: 0.9043 0.8467
PTH1R_26_03_unrelaxed_rank_3_model_4: 0.8684 0.8460
PTH1R_26_03_unrelaxed_rank_4_model_5: 0.8816 0.8488
PTH1R_26_03_unrelaxed_rank_5_model_2: 0.8950 0.8413
PTH1R_27_01_unrelaxed_rank_1_model_1: 0.9377 0.8572
PTH1R_27_01_unrelaxed_rank_2_model_3: 0.8333 0.8321
PTH1R_27_01_unrelaxed_rank_3_model_4: 0.9005 0.8262
PTH1R_27_01_unrelaxed_rank_4_model_5: 0.9044 0.8578
PTH1R_27_01_unrelaxed_rank_5_model_2: 0.8661 0.8099
PTH1R_27_02_unrelaxed_rank_1_model_3: 0.8869 0.8220
PTH1R_27_02_unrelaxed_rank_2_model_1: 0.9352 0.8562
PTH1R_27_02_unrelaxed_rank_3_model_4: 0.8985 0.8268
PTH1R_27_02_unrelaxed_rank_4_model_5: 0.9037 0.8587
PTH1R_27_02_unrelaxed_rank_5_model_2: 0.8648 0.8133
PTH1R_27_03_unrelaxed_rank_1_model_3: 0.8647 0.8076
PTH1R_27_03_unrelaxed_rank_2_model_1: 0.9364 0.8558
PTH1R_27_03_unrelaxed_rank_3_model_4: 0.8954 0.8253
PTH1R_27_03_unrelaxed_rank_4_model_5: 0.8889 0.8558
PTH1R_27_03_unrelaxed_rank_5_model_2: 0.8617 0.8129
PTH1R_28_01_unrelaxed_rank_1_model_3: 0.8824 0.8252
PTH1R_28_01_unrelaxed_rank_2_model_1: 0.8902 0.8460
PTH1R_28_01_unrelaxed_rank_3_model_5: 0.8891 0.8206
PTH1R_28_01_unrelaxed_rank_4_model_4: 0.8702 0.8380
PTH1R_28_01_unrelaxed_rank_5_model_2: 0.8804 0.8229
PTH1R_28_02_unrelaxed_rank_1_model_3: 0.8892 0.8305
PTH1R_28_02_unrelaxed_rank_2_model_1: 0.8896 0.8448
PTH1R_28_02_unrelaxed_rank_3_model_5: 0.8944 0.8259
PTH1R_28_02_unrelaxed_rank_4_model_4: 0.8694 0.8382
PTH1R_28_02_unrelaxed_rank_5_model_2: 0.8727 0.8269
PTH1R_28_03_unrelaxed_rank_1_model_3: 0.8845 0.8239
PTH1R_28_03_unrelaxed_rank_2_model_1: 0.8918 0.8480
PTH1R_28_03_unrelaxed_rank_3_model_4: 0.8712 0.8386
PTH1R_28_03_unrelaxed_rank_4_model_5: 0.8945 0.8275
PTH1R_28_03_unrelaxed_rank_5_model_2: 0.8726 0.8300
PTH1R_29_01_unrelaxed_rank_1_model_3: 0.9116 0.8688
PTH1R_29_01_unrelaxed_rank_2_model_1: 0.9495 0.8509
PTH1R_29_01_unrelaxed_rank_3_model_4: 0.9152 0.8698
PTH1R_29_01_unrelaxed_rank_4_model_5: 0.9354 0.8558
PTH1R_29_01_unrelaxed_rank_5_model_2: 0.9149 0.8552
PTH1R_29_02_unrelaxed_rank_1_model_3: 0.9085 0.8695
PTH1R_29_02_unrelaxed_rank_2_model_1: 0.9443 0.8544
PTH1R_29_02_unrelaxed_rank_3_model_4: 0.9145 0.8728
PTH1R_29_02_unrelaxed_rank_4_model_5: 0.9298 0.8674
PTH1R_29_02_unrelaxed_rank_5_model_2: 0.9126 0.8590
PTH1R_29_03_unrelaxed_rank_1_model_3: 0.9109 0.8756
PTH1R_29_03_unrelaxed_rank_2_model_1: 0.9413 0.8757
PTH1R_29_03_unrelaxed_rank_3_model_4: 0.9143 0.8733
PTH1R_29_03_unrelaxed_rank_4_model_5: 0.9317 0.8651
PTH1R_29_03_unrelaxed_rank_5_model_2: 0.9166 0.8681
