[0.7354]: 6xpfB 6xpfA
ZnT8_10_03_unrelaxed_rank_3_model_4: 0.9255 0.6925
ZnT8_10_03_unrelaxed_rank_4_model_2: 0.9163 0.6815
ZnT8_10_03_unrelaxed_rank_5_model_1: 0.9259 0.7163
ZnT8_11_01_unrelaxed_rank_1_model_3: 0.9353 0.7074
ZnT8_11_01_unrelaxed_rank_2_model_1: 0.9378 0.7256
ZnT8_11_01_unrelaxed_rank_3_model_2: 0.9386 0.7187
ZnT8_11_01_unrelaxed_rank_4_model_5: 0.9357 0.7091
ZnT8_11_01_unrelaxed_rank_5_model_4: 0.9336 0.7030
ZnT8_11_02_unrelaxed_rank_1_model_3: 0.9339 0.7089
ZnT8_11_02_unrelaxed_rank_2_model_1: 0.9391 0.7198
ZnT8_11_02_unrelaxed_rank_3_model_2: 0.9385 0.7162
ZnT8_11_02_unrelaxed_rank_4_model_5: 0.9361 0.7094
ZnT8_11_02_unrelaxed_rank_5_model_4: 0.9292 0.7017
ZnT8_11_03_unrelaxed_rank_1_model_3: 0.9344 0.7100
ZnT8_11_03_unrelaxed_rank_2_model_1: 0.9395 0.7199
ZnT8_11_03_unrelaxed_rank_3_model_5: 0.9358 0.7097
ZnT8_11_03_unrelaxed_rank_4_model_2: 0.9392 0.7183
ZnT8_11_03_unrelaxed_rank_5_model_4: 0.9384 0.7097
ZnT8_12_01_unrelaxed_rank_1_model_1: 0.7588 0.8547
ZnT8_12_01_unrelaxed_rank_2_model_3: 0.7797 0.8363
ZnT8_12_01_unrelaxed_rank_3_model_2: 0.7567 0.8318
ZnT8_12_01_unrelaxed_rank_4_model_5: 0.7546 0.8302
ZnT8_12_01_unrelaxed_rank_5_model_4: 0.7647 0.8421
ZnT8_12_02_unrelaxed_rank_1_model_1: 0.7586 0.8535
ZnT8_12_02_unrelaxed_rank_2_model_3: 0.7771 0.8366
ZnT8_12_02_unrelaxed_rank_3_model_2: 0.7612 0.8350
ZnT8_12_02_unrelaxed_rank_4_model_5: 0.7551 0.8286
ZnT8_12_02_unrelaxed_rank_5_model_4: 0.7614 0.8394
ZnT8_12_03_unrelaxed_rank_1_model_3: 0.7771 0.8335
ZnT8_12_03_unrelaxed_rank_2_model_1: 0.7606 0.8537
ZnT8_12_03_unrelaxed_rank_3_model_2: 0.7584 0.8320
ZnT8_12_03_unrelaxed_rank_4_model_4: 0.7645 0.8405
ZnT8_12_03_unrelaxed_rank_5_model_5: 0.7585 0.8286
ZnT8_13_01_unrelaxed_rank_1_model_3: 0.7985 0.8359
ZnT8_13_01_unrelaxed_rank_2_model_5: 0.7742 0.8452
ZnT8_13_01_unrelaxed_rank_3_model_2: 0.7680 0.8463
ZnT8_13_01_unrelaxed_rank_4_model_1: 0.7698 0.8496
ZnT8_13_01_unrelaxed_rank_5_model_4: 0.7669 0.8335
ZnT8_13_02_unrelaxed_rank_1_model_3: 0.8365 0.8350
ZnT8_13_02_unrelaxed_rank_2_model_2: 0.7706 0.8468
ZnT8_13_02_unrelaxed_rank_3_model_1: 0.7762 0.8526
ZnT8_13_02_unrelaxed_rank_4_model_5: 0.7861 0.8448
ZnT8_13_02_unrelaxed_rank_5_model_4: 0.7681 0.8330
ZnT8_13_03_unrelaxed_rank_1_model_3: 0.8241 0.8336
ZnT8_13_03_unrelaxed_rank_2_model_2: 0.7694 0.8476
ZnT8_13_03_unrelaxed_rank_3_model_5: 0.7784 0.8455
ZnT8_13_03_unrelaxed_rank_4_model_1: 0.7772 0.8564
ZnT8_13_03_unrelaxed_rank_5_model_4: 0.7692 0.8328
ZnT8_14_01_unrelaxed_rank_1_model_3: 0.8198 0.8377
ZnT8_14_01_unrelaxed_rank_2_model_5: 0.7673 0.8482
ZnT8_14_01_unrelaxed_rank_3_model_1: 0.7807 0.8621
ZnT8_14_01_unrelaxed_rank_4_model_2: 0.7627 0.8487
ZnT8_14_01_unrelaxed_rank_5_model_4: 0.7642 0.8368
ZnT8_14_02_unrelaxed_rank_1_model_3: 0.7845 0.8458
ZnT8_14_02_unrelaxed_rank_2_model_5: 0.7649 0.8446
ZnT8_14_02_unrelaxed_rank_3_model_2: 0.7579 0.8483
ZnT8_14_02_unrelaxed_rank_4_model_4: 0.7586 0.8376
ZnT8_14_02_unrelaxed_rank_5_model_1: 0.7685 0.8539
ZnT8_14_03_unrelaxed_rank_1_model_5: 0.7685 0.8428
ZnT8_14_03_unrelaxed_rank_2_model_3: 0.8358 0.8325
ZnT8_14_03_unrelaxed_rank_3_model_2: 0.7641 0.8474
ZnT8_14_03_unrelaxed_rank_4_model_1: 0.7826 0.8562
ZnT8_14_03_unrelaxed_rank_5_model_4: 0.7604 0.8319
ZnT8_15_01_unrelaxed_rank_1_model_3: 0.8796 0.7749
ZnT8_15_01_unrelaxed_rank_2_model_1: 0.7980 0.8403
ZnT8_15_01_unrelaxed_rank_3_model_5: 0.8965 0.7963
ZnT8_15_01_unrelaxed_rank_4_model_2: 0.9063 0.7966
ZnT8_15_01_unrelaxed_rank_5_model_4: 0.9126 0.7854
ZnT8_15_02_unrelaxed_rank_1_model_3: 0.9049 0.7790
ZnT8_15_02_unrelaxed_rank_2_model_1: 0.7953 0.8413
ZnT8_15_02_unrelaxed_rank_3_model_2: 0.8922 0.8068
ZnT8_15_02_unrelaxed_rank_4_model_5: 0.8772 0.7988
ZnT8_15_02_unrelaxed_rank_5_model_4: 0.8627 0.8127
ZnT8_15_03_unrelaxed_rank_1_model_3: 0.9022 0.7782
ZnT8_15_03_unrelaxed_rank_2_model_1: 0.8953 0.8021
ZnT8_15_03_unrelaxed_rank_3_model_5: 0.8839 0.8003
ZnT8_15_03_unrelaxed_rank_4_model_2: 0.9092 0.7952
ZnT8_15_03_unrelaxed_rank_5_model_4: 0.9111 0.7871
ZnT8_16_01_unrelaxed_rank_1_model_3: 0.9358 0.7169
ZnT8_16_01_unrelaxed_rank_2_model_1: 0.9348 0.7329
ZnT8_16_01_unrelaxed_rank_3_model_2: 0.9434 0.7347
ZnT8_16_01_unrelaxed_rank_4_model_4: 0.9395 0.7207
ZnT8_16_01_unrelaxed_rank_5_model_5: 0.8958 0.8084
ZnT8_16_02_unrelaxed_rank_1_model_3: 0.9401 0.7219
ZnT8_16_02_unrelaxed_rank_2_model_1: 0.9388 0.7378
ZnT8_16_02_unrelaxed_rank_3_model_4: 0.9404 0.7216
ZnT8_16_02_unrelaxed_rank_4_model_2: 0.9410 0.7312
ZnT8_16_02_unrelaxed_rank_5_model_5: 0.9051 0.8009
ZnT8_16_03_unrelaxed_rank_1_model_3: 0.9368 0.7180
ZnT8_16_03_unrelaxed_rank_2_model_1: 0.9390 0.7360
ZnT8_16_03_unrelaxed_rank_3_model_2: 0.9397 0.7270
ZnT8_16_03_unrelaxed_rank_4_model_4: 0.9386 0.7202
ZnT8_16_03_unrelaxed_rank_5_model_5: 0.9063 0.8040
ZnT8_17_01_unrelaxed_rank_1_model_3: 0.9380 0.7133
ZnT8_17_01_unrelaxed_rank_2_model_4: 0.9357 0.7128
ZnT8_17_01_unrelaxed_rank_3_model_5: 0.9315 0.7166
ZnT8_17_01_unrelaxed_rank_4_model_2: 0.9359 0.7127
ZnT8_17_01_unrelaxed_rank_5_model_1: 0.9231 0.7574
ZnT8_17_02_unrelaxed_rank_1_model_3: 0.9361 0.7114
ZnT8_17_02_unrelaxed_rank_2_model_4: 0.9363 0.7122
ZnT8_17_02_unrelaxed_rank_3_model_2: 0.9386 0.7212
ZnT8_17_02_unrelaxed_rank_4_model_5: 0.8518 0.8398
ZnT8_17_02_unrelaxed_rank_5_model_1: 0.9080 0.7880
ZnT8_17_03_unrelaxed_rank_1_model_3: 0.9363 0.7191
ZnT8_17_03_unrelaxed_rank_2_model_4: 0.9372 0.7131
ZnT8_17_03_unrelaxed_rank_3_model_2: 0.9389 0.7232
ZnT8_17_03_unrelaxed_rank_4_model_1: 0.9037 0.7937
ZnT8_17_03_unrelaxed_rank_5_model_5: 0.8520 0.8447
ZnT8_18_01_unrelaxed_rank_1_model_3: 0.9371 0.7039
ZnT8_18_01_unrelaxed_rank_2_model_4: 0.9129 0.6937
ZnT8_18_01_unrelaxed_rank_3_model_5: 0.9162 0.6808
ZnT8_18_01_unrelaxed_rank_4_model_2: 0.9273 0.6976
ZnT8_18_01_unrelaxed_rank_5_model_1: 0.9290 0.7218
ZnT8_18_02_unrelaxed_rank_1_model_3: 0.9329 0.6969
ZnT8_18_02_unrelaxed_rank_2_model_4: 0.9163 0.6928
ZnT8_18_02_unrelaxed_rank_3_model_5: 0.9138 0.6738
ZnT8_18_02_unrelaxed_rank_4_model_1: 0.9290 0.7107
ZnT8_18_02_unrelaxed_rank_5_model_2: 0.9240 0.6902
ZnT8_18_03_unrelaxed_rank_1_model_3: 0.9333 0.6946
ZnT8_18_03_unrelaxed_rank_2_model_5: 0.9154 0.6784
ZnT8_18_03_unrelaxed_rank_3_model_4: 0.9361 0.7030
ZnT8_18_03_unrelaxed_rank_4_model_2: 0.9283 0.6946
ZnT8_18_03_unrelaxed_rank_5_model_1: 0.9309 0.7168
ZnT8_19_01_unrelaxed_rank_1_model_3: 0.7540 0.8609
ZnT8_19_01_unrelaxed_rank_2_model_2: 0.7461 0.8488
ZnT8_19_01_unrelaxed_rank_3_model_5: 0.7502 0.8477
ZnT8_19_01_unrelaxed_rank_4_model_1: 0.7985 0.8592
ZnT8_19_01_unrelaxed_rank_5_model_4: 0.7845 0.8489
ZnT8_19_02_unrelaxed_rank_1_model_3: 0.7668 0.8540
ZnT8_19_02_unrelaxed_rank_2_model_2: 0.7503 0.8520
ZnT8_19_02_unrelaxed_rank_3_model_5: 0.7572 0.8525
ZnT8_19_02_unrelaxed_rank_4_model_1: 0.7920 0.8576
ZnT8_19_02_unrelaxed_rank_5_model_4: 0.8356 0.8435
ZnT8_19_03_unrelaxed_rank_1_model_3: 0.7779 0.8546
ZnT8_19_03_unrelaxed_rank_2_model_2: 0.7497 0.8498
ZnT8_19_03_unrelaxed_rank_3_model_1: 0.8146 0.8542
ZnT8_19_03_unrelaxed_rank_4_model_5: 0.7623 0.8500
ZnT8_19_03_unrelaxed_rank_5_model_4: 0.7726 0.8437
ZnT8_20_01_unrelaxed_rank_1_model_3: 0.7935 0.8502
ZnT8_20_01_unrelaxed_rank_2_model_2: 0.7541 0.8508
ZnT8_20_01_unrelaxed_rank_3_model_1: 0.8109 0.8616
ZnT8_20_01_unrelaxed_rank_4_model_5: 0.7582 0.8475
ZnT8_20_01_unrelaxed_rank_5_model_4: 0.7544 0.8424
ZnT8_20_02_unrelaxed_rank_1_model_3: 0.8080 0.8529
ZnT8_20_02_unrelaxed_rank_2_model_2: 0.7599 0.8563
ZnT8_20_02_unrelaxed_rank_3_model_1: 0.8080 0.8623
ZnT8_20_02_unrelaxed_rank_4_model_5: 0.7726 0.8522
ZnT8_20_02_unrelaxed_rank_5_model_4: 0.7658 0.8466
ZnT8_20_03_unrelaxed_rank_1_model_3: 0.8107 0.8521
ZnT8_20_03_unrelaxed_rank_2_model_2: 0.7609 0.8527
ZnT8_20_03_unrelaxed_rank_3_model_1: 0.8125 0.8607
ZnT8_20_03_unrelaxed_rank_4_model_5: 0.7711 0.8506
ZnT8_20_03_unrelaxed_rank_5_model_4: 0.7621 0.8413
ZnT8_22_01_unrelaxed_rank_1_model_3: 0.8159 0.8489
ZnT8_22_01_unrelaxed_rank_2_model_1: 0.7666 0.8421
ZnT8_22_01_unrelaxed_rank_3_model_5: 0.7681 0.8454
ZnT8_22_01_unrelaxed_rank_4_model_2: 0.7578 0.8560
ZnT8_22_01_unrelaxed_rank_5_model_4: 0.7667 0.8468
ZnT8_22_02_unrelaxed_rank_1_model_3: 0.8132 0.8552
ZnT8_22_02_unrelaxed_rank_2_model_1: 0.7692 0.8489
ZnT8_22_02_unrelaxed_rank_3_model_5: 0.7681 0.8448
ZnT8_22_02_unrelaxed_rank_4_model_2: 0.7550 0.8542
ZnT8_22_02_unrelaxed_rank_5_model_4: 0.7534 0.8467
ZnT8_22_03_unrelaxed_rank_1_model_3: 0.8502 0.8442
ZnT8_22_03_unrelaxed_rank_2_model_1: 0.7726 0.8436
ZnT8_22_03_unrelaxed_rank_3_model_2: 0.7555 0.8529
ZnT8_22_03_unrelaxed_rank_4_model_5: 0.7710 0.8476
ZnT8_22_03_unrelaxed_rank_5_model_4: 0.7653 0.8435
ZnT8_25_01_unrelaxed_rank_1_model_3: 0.7941 0.8446
ZnT8_25_01_unrelaxed_rank_2_model_2: 0.7564 0.8502
ZnT8_25_01_unrelaxed_rank_3_model_5: 0.7692 0.8433
ZnT8_25_01_unrelaxed_rank_4_model_1: 0.7715 0.8444
ZnT8_25_01_unrelaxed_rank_5_model_4: 0.7608 0.8428
ZnT8_25_02_unrelaxed_rank_1_model_3: 0.7886 0.8447
ZnT8_25_02_unrelaxed_rank_2_model_5: 0.7656 0.8429
ZnT8_25_02_unrelaxed_rank_3_model_2: 0.7602 0.8505
ZnT8_25_02_unrelaxed_rank_4_model_1: 0.7689 0.8417
ZnT8_25_02_unrelaxed_rank_5_model_4: 0.7577 0.8404
ZnT8_25_03_unrelaxed_rank_1_model_3: 0.7974 0.8475
ZnT8_25_03_unrelaxed_rank_2_model_2: 0.7602 0.8516
ZnT8_25_03_unrelaxed_rank_3_model_5: 0.7658 0.8408
ZnT8_25_03_unrelaxed_rank_4_model_1: 0.7742 0.8436
ZnT8_25_03_unrelaxed_rank_5_model_4: 0.7687 0.8468
ZnT8_26_01_unrelaxed_rank_1_model_3: 0.7875 0.8465
ZnT8_26_01_unrelaxed_rank_2_model_2: 0.7578 0.8513
ZnT8_26_01_unrelaxed_rank_3_model_1: 0.7701 0.8463
ZnT8_26_01_unrelaxed_rank_4_model_4: 0.7628 0.8414
ZnT8_26_01_unrelaxed_rank_5_model_5: 0.7654 0.8437
ZnT8_26_02_unrelaxed_rank_1_model_3: 0.8690 0.8290
ZnT8_26_02_unrelaxed_rank_2_model_5: 0.7667 0.8454
ZnT8_26_02_unrelaxed_rank_3_model_2: 0.7587 0.8519
ZnT8_26_02_unrelaxed_rank_4_model_1: 0.7728 0.8465
ZnT8_26_02_unrelaxed_rank_5_model_4: 0.7670 0.8400
ZnT8_26_03_unrelaxed_rank_1_model_3: 0.7870 0.8434
ZnT8_26_03_unrelaxed_rank_2_model_1: 0.7689 0.8471
ZnT8_26_03_unrelaxed_rank_3_model_2: 0.7527 0.8531
ZnT8_26_03_unrelaxed_rank_4_model_4: 0.7645 0.8423
ZnT8_26_03_unrelaxed_rank_5_model_5: 0.7616 0.8410
ZnT8_27_01_unrelaxed_rank_1_model_3: 0.8016 0.8483
ZnT8_27_01_unrelaxed_rank_2_model_5: 0.7626 0.8420
ZnT8_27_01_unrelaxed_rank_3_model_2: 0.7597 0.8504
ZnT8_27_01_unrelaxed_rank_4_model_1: 0.7744 0.8511
ZnT8_27_01_unrelaxed_rank_5_model_4: 0.7623 0.8413
ZnT8_27_02_unrelaxed_rank_1_model_3: 0.8352 0.8410
ZnT8_27_02_unrelaxed_rank_2_model_5: 0.7604 0.8397
ZnT8_27_02_unrelaxed_rank_3_model_2: 0.7574 0.8455
ZnT8_27_02_unrelaxed_rank_4_model_1: 0.7716 0.8475
ZnT8_27_02_unrelaxed_rank_5_model_4: 0.7640 0.8401
ZnT8_27_03_unrelaxed_rank_1_model_3: 0.8281 0.8405
ZnT8_27_03_unrelaxed_rank_2_model_5: 0.7673 0.8438
ZnT8_27_03_unrelaxed_rank_3_model_1: 0.7827 0.8475
ZnT8_27_03_unrelaxed_rank_4_model_2: 0.7639 0.8513
ZnT8_27_03_unrelaxed_rank_5_model_4: 0.7645 0.8390
ZnT8_28_01_unrelaxed_rank_1_model_2: 0.7582 0.8519
ZnT8_28_01_unrelaxed_rank_2_model_3: 0.8270 0.8446
