[0.68184]: 1ake 4ake
3HPQ_08_01_unrelaxed_rank_3_model_4: 0.9496 0.6826
3HPQ_08_01_unrelaxed_rank_4_model_5: 0.9493 0.6875
3HPQ_08_01_unrelaxed_rank_5_model_2: 0.9125 0.6997
3HPQ_08_02_unrelaxed_rank_1_model_3: 0.9615 0.6807
3HPQ_08_02_unrelaxed_rank_2_model_4: 0.9322 0.6944
3HPQ_08_02_unrelaxed_rank_3_model_1: 0.9096 0.6980
3HPQ_08_02_unrelaxed_rank_4_model_5: 0.9446 0.6905
3HPQ_08_02_unrelaxed_rank_5_model_2: 0.9030 0.7079
3HPQ_08_03_unrelaxed_rank_1_model_3: 0.9715 0.6728
3HPQ_08_03_unrelaxed_rank_2_model_4: 0.9473 0.6854
3HPQ_08_03_unrelaxed_rank_3_model_5: 0.9586 0.6859
3HPQ_08_03_unrelaxed_rank_4_model_1: 0.9176 0.6981
3HPQ_08_03_unrelaxed_rank_5_model_2: 0.9147 0.7041
3HPQ_09_01_unrelaxed_rank_1_model_3: 0.8601 0.6599
3HPQ_09_01_unrelaxed_rank_2_model_4: 0.8166 0.6922
3HPQ_09_01_unrelaxed_rank_3_model_1: 0.8167 0.6815
3HPQ_09_01_unrelaxed_rank_4_model_5: 0.8182 0.6786
3HPQ_09_01_unrelaxed_rank_5_model_2: 0.7990 0.6965
3HPQ_09_02_unrelaxed_rank_1_model_3: 0.8662 0.6590
3HPQ_09_02_unrelaxed_rank_2_model_4: 0.8263 0.6792
3HPQ_09_02_unrelaxed_rank_3_model_1: 0.8223 0.6683
3HPQ_09_02_unrelaxed_rank_4_model_5: 0.8465 0.6652
3HPQ_09_02_unrelaxed_rank_5_model_2: 0.8058 0.6872
3HPQ_09_03_unrelaxed_rank_1_model_3: 0.8567 0.6608
3HPQ_09_03_unrelaxed_rank_2_model_4: 0.8321 0.6743
3HPQ_09_03_unrelaxed_rank_3_model_1: 0.8189 0.6755
3HPQ_09_03_unrelaxed_rank_4_model_5: 0.8351 0.6679
3HPQ_09_03_unrelaxed_rank_5_model_2: 0.8019 0.6946
3HPQ_10_01_unrelaxed_rank_1_model_1: 0.9074 0.7046
3HPQ_10_01_unrelaxed_rank_2_model_3: 0.9513 0.6783
3HPQ_10_01_unrelaxed_rank_3_model_4: 0.9145 0.6981
3HPQ_10_01_unrelaxed_rank_4_model_2: 0.9185 0.7104
3HPQ_10_01_unrelaxed_rank_5_model_5: 0.7798 0.7467
3HPQ_10_02_unrelaxed_rank_1_model_1: 0.9118 0.7052
3HPQ_10_02_unrelaxed_rank_2_model_3: 0.9446 0.6688
3HPQ_10_02_unrelaxed_rank_3_model_2: 0.9298 0.6950
3HPQ_10_02_unrelaxed_rank_4_model_4: 0.9100 0.7012
3HPQ_10_02_unrelaxed_rank_5_model_5: 0.7930 0.7381
3HPQ_10_03_unrelaxed_rank_1_model_1: 0.9065 0.7029
3HPQ_10_03_unrelaxed_rank_2_model_3: 0.9525 0.6755
3HPQ_10_03_unrelaxed_rank_3_model_2: 0.9220 0.7034
3HPQ_10_03_unrelaxed_rank_4_model_4: 0.9139 0.6913
3HPQ_10_03_unrelaxed_rank_5_model_5: 0.8871 0.6980
3HPQ_11_01_unrelaxed_rank_1_model_3: 0.9088 0.6467
3HPQ_11_01_unrelaxed_rank_2_model_1: 0.9014 0.6643
3HPQ_11_01_unrelaxed_rank_3_model_5: 0.9041 0.6568
3HPQ_11_01_unrelaxed_rank_4_model_4: 0.8990 0.6673
3HPQ_11_01_unrelaxed_rank_5_model_2: 0.8542 0.6146
3HPQ_11_02_unrelaxed_rank_1_model_3: 0.9190 0.6481
3HPQ_11_02_unrelaxed_rank_2_model_4: 0.9173 0.6589
3HPQ_11_02_unrelaxed_rank_3_model_1: 0.9137 0.6523
3HPQ_11_02_unrelaxed_rank_4_model_5: 0.9020 0.6537
3HPQ_11_02_unrelaxed_rank_5_model_2: 0.8790 0.6338
3HPQ_11_03_unrelaxed_rank_1_model_3: 0.9060 0.6383
3HPQ_11_03_unrelaxed_rank_2_model_1: 0.9136 0.6502
3HPQ_11_03_unrelaxed_rank_3_model_4: 0.9130 0.6637
3HPQ_11_03_unrelaxed_rank_4_model_5: 0.9091 0.6543
3HPQ_11_03_unrelaxed_rank_5_model_2: 0.8605 0.6141
3HPQ_12_01_unrelaxed_rank_1_model_3: 0.9676 0.6823
3HPQ_12_01_unrelaxed_rank_2_model_5: 0.9175 0.7016
3HPQ_12_01_unrelaxed_rank_3_model_1: 0.9261 0.7032
3HPQ_12_01_unrelaxed_rank_4_model_2: 0.9368 0.7033
3HPQ_12_01_unrelaxed_rank_5_model_4: 0.9169 0.7189
3HPQ_12_02_unrelaxed_rank_1_model_3: 0.9619 0.6735
3HPQ_12_02_unrelaxed_rank_2_model_5: 0.9204 0.6950
3HPQ_12_02_unrelaxed_rank_3_model_1: 0.9279 0.7016
3HPQ_12_02_unrelaxed_rank_4_model_4: 0.9198 0.7127
3HPQ_12_02_unrelaxed_rank_5_model_2: 0.9530 0.6936
3HPQ_12_03_unrelaxed_rank_1_model_3: 0.9683 0.6812
3HPQ_12_03_unrelaxed_rank_2_model_5: 0.9194 0.6941
3HPQ_12_03_unrelaxed_rank_3_model_1: 0.9546 0.6973
3HPQ_12_03_unrelaxed_rank_4_model_4: 0.9618 0.6986
3HPQ_12_03_unrelaxed_rank_5_model_2: 0.9766 0.6949
3HPQ_13_01_unrelaxed_rank_1_model_3: 0.8410 0.7294
3HPQ_13_01_unrelaxed_rank_2_model_4: 0.7724 0.7981
3HPQ_13_01_unrelaxed_rank_3_model_1: 0.8016 0.7833
3HPQ_13_01_unrelaxed_rank_4_model_2: 0.8209 0.7570
3HPQ_13_01_unrelaxed_rank_5_model_5: 0.8111 0.7657
3HPQ_13_02_unrelaxed_rank_1_model_3: 0.8473 0.7192
3HPQ_13_02_unrelaxed_rank_2_model_4: 0.7723 0.7965
3HPQ_13_02_unrelaxed_rank_3_model_2: 0.8275 0.7536
3HPQ_13_02_unrelaxed_rank_4_model_1: 0.8130 0.7723
3HPQ_13_02_unrelaxed_rank_5_model_5: 0.8135 0.7626
3HPQ_13_03_unrelaxed_rank_1_model_3: 0.8343 0.7407
3HPQ_13_03_unrelaxed_rank_2_model_2: 0.8239 0.7581
3HPQ_13_03_unrelaxed_rank_3_model_4: 0.7670 0.7999
3HPQ_13_03_unrelaxed_rank_4_model_1: 0.7962 0.7908
3HPQ_13_03_unrelaxed_rank_5_model_5: 0.7791 0.7907
3HPQ_14_01_unrelaxed_rank_1_model_3: 0.8870 0.7228
3HPQ_14_01_unrelaxed_rank_2_model_1: 0.8829 0.7298
3HPQ_14_01_unrelaxed_rank_3_model_4: 0.8179 0.7862
3HPQ_14_01_unrelaxed_rank_4_model_5: 0.8815 0.7296
3HPQ_14_01_unrelaxed_rank_5_model_2: 0.8849 0.7311
3HPQ_14_02_unrelaxed_rank_1_model_3: 0.8786 0.7264
3HPQ_14_02_unrelaxed_rank_2_model_1: 0.8813 0.7321
3HPQ_14_02_unrelaxed_rank_3_model_5: 0.8823 0.7337
3HPQ_14_02_unrelaxed_rank_4_model_4: 0.8149 0.7881
3HPQ_14_02_unrelaxed_rank_5_model_2: 0.8861 0.7332
3HPQ_14_03_unrelaxed_rank_1_model_3: 0.8814 0.7276
3HPQ_14_03_unrelaxed_rank_2_model_1: 0.8821 0.7297
3HPQ_14_03_unrelaxed_rank_3_model_5: 0.8846 0.7326
3HPQ_14_03_unrelaxed_rank_4_model_4: 0.8161 0.7855
3HPQ_14_03_unrelaxed_rank_5_model_2: 0.8874 0.7301
3HPQ_15_01_unrelaxed_rank_1_model_3: 0.9538 0.7001
3HPQ_15_01_unrelaxed_rank_2_model_5: 0.9422 0.7067
3HPQ_15_01_unrelaxed_rank_3_model_1: 0.9093 0.7242
3HPQ_15_01_unrelaxed_rank_4_model_4: 0.8800 0.7646
3HPQ_15_01_unrelaxed_rank_5_model_2: 0.9304 0.7204
3HPQ_15_02_unrelaxed_rank_1_model_3: 0.9547 0.7008
3HPQ_15_02_unrelaxed_rank_2_model_1: 0.9141 0.7221
3HPQ_15_02_unrelaxed_rank_3_model_5: 0.9471 0.7058
3HPQ_15_02_unrelaxed_rank_4_model_4: 0.9530 0.7096
3HPQ_15_02_unrelaxed_rank_5_model_2: 0.9374 0.7135
3HPQ_15_03_unrelaxed_rank_1_model_3: 0.9519 0.7014
3HPQ_15_03_unrelaxed_rank_2_model_5: 0.9408 0.7061
3HPQ_15_03_unrelaxed_rank_3_model_1: 0.9034 0.7299
3HPQ_15_03_unrelaxed_rank_4_model_4: 0.8926 0.7535
3HPQ_15_03_unrelaxed_rank_5_model_2: 0.9287 0.7164
3HPQ_16_01_unrelaxed_rank_1_model_3: 0.7702 0.8267
3HPQ_16_01_unrelaxed_rank_2_model_4: 0.7623 0.8261
3HPQ_16_01_unrelaxed_rank_3_model_1: 0.7664 0.8255
3HPQ_16_01_unrelaxed_rank_4_model_2: 0.8009 0.8024
3HPQ_16_01_unrelaxed_rank_5_model_5: 0.7590 0.8480
3HPQ_16_02_unrelaxed_rank_1_model_3: 0.7964 0.8153
3HPQ_16_02_unrelaxed_rank_2_model_1: 0.7617 0.8273
3HPQ_16_02_unrelaxed_rank_3_model_4: 0.7696 0.8194
3HPQ_16_02_unrelaxed_rank_4_model_2: 0.8027 0.7985
3HPQ_16_02_unrelaxed_rank_5_model_5: 0.7809 0.8229
3HPQ_16_03_unrelaxed_rank_1_model_1: 0.7146 0.8776
3HPQ_16_03_unrelaxed_rank_2_model_3: 0.7390 0.8620
3HPQ_16_03_unrelaxed_rank_3_model_2: 0.7623 0.8510
3HPQ_16_03_unrelaxed_rank_4_model_4: 0.7746 0.8184
3HPQ_16_03_unrelaxed_rank_5_model_5: 0.7384 0.8692
3HPQ_17_01_unrelaxed_rank_1_model_3: 0.9274 0.7125
3HPQ_17_01_unrelaxed_rank_2_model_5: 0.9124 0.7191
3HPQ_17_01_unrelaxed_rank_3_model_1: 0.9165 0.7231
3HPQ_17_01_unrelaxed_rank_4_model_4: 0.9153 0.7292
3HPQ_17_01_unrelaxed_rank_5_model_2: 0.9260 0.7190
3HPQ_17_02_unrelaxed_rank_1_model_3: 0.9304 0.7091
3HPQ_17_02_unrelaxed_rank_2_model_5: 0.9006 0.7304
3HPQ_17_02_unrelaxed_rank_3_model_1: 0.9097 0.7295
3HPQ_17_02_unrelaxed_rank_4_model_2: 0.9253 0.7197
3HPQ_17_02_unrelaxed_rank_5_model_4: 0.9161 0.7289
3HPQ_17_03_unrelaxed_rank_1_model_3: 0.9281 0.7120
3HPQ_17_03_unrelaxed_rank_2_model_1: 0.8961 0.7391
3HPQ_17_03_unrelaxed_rank_3_model_5: 0.9077 0.7240
3HPQ_17_03_unrelaxed_rank_4_model_2: 0.9265 0.7186
3HPQ_17_03_unrelaxed_rank_5_model_4: 0.8949 0.7405
3HPQ_18_01_unrelaxed_rank_1_model_3: 0.9541 0.6828
3HPQ_18_01_unrelaxed_rank_2_model_1: 0.9078 0.7041
3HPQ_18_01_unrelaxed_rank_3_model_4: 0.9612 0.6942
3HPQ_18_01_unrelaxed_rank_4_model_2: 0.9128 0.7039
3HPQ_18_01_unrelaxed_rank_5_model_5: 0.9179 0.7145
3HPQ_18_02_unrelaxed_rank_1_model_3: 0.9503 0.6851
3HPQ_18_02_unrelaxed_rank_2_model_1: 0.9033 0.7080
3HPQ_18_02_unrelaxed_rank_3_model_2: 0.9116 0.7074
3HPQ_18_02_unrelaxed_rank_4_model_4: 0.9250 0.7115
3HPQ_18_02_unrelaxed_rank_5_model_5: 0.9209 0.7106
3HPQ_18_03_unrelaxed_rank_1_model_3: 0.9598 0.6776
3HPQ_18_03_unrelaxed_rank_2_model_1: 0.9060 0.7062
3HPQ_18_03_unrelaxed_rank_3_model_4: 0.9649 0.6869
3HPQ_18_03_unrelaxed_rank_4_model_2: 0.9120 0.7064
3HPQ_18_03_unrelaxed_rank_5_model_5: 0.9290 0.7052
3HPQ_19_01_unrelaxed_rank_1_model_1: 0.9231 0.7080
3HPQ_19_01_unrelaxed_rank_2_model_3: 0.9793 0.6902
3HPQ_19_01_unrelaxed_rank_3_model_4: 0.9380 0.7311
3HPQ_19_01_unrelaxed_rank_4_model_2: 0.9349 0.7113
3HPQ_19_01_unrelaxed_rank_5_model_5: 0.9394 0.7027
3HPQ_19_02_unrelaxed_rank_1_model_3: 0.9777 0.6807
3HPQ_19_02_unrelaxed_rank_2_model_1: 0.9264 0.7069
3HPQ_19_02_unrelaxed_rank_3_model_4: 0.9731 0.6945
3HPQ_19_02_unrelaxed_rank_4_model_2: 0.9414 0.7026
3HPQ_19_02_unrelaxed_rank_5_model_5: 0.9483 0.7006
3HPQ_19_03_unrelaxed_rank_1_model_3: 0.9782 0.6830
3HPQ_19_03_unrelaxed_rank_2_model_1: 0.9256 0.7050
3HPQ_19_03_unrelaxed_rank_3_model_4: 0.9750 0.6943
3HPQ_19_03_unrelaxed_rank_4_model_2: 0.9409 0.7003
3HPQ_19_03_unrelaxed_rank_5_model_5: 0.9620 0.6960
3HPQ_20_01_unrelaxed_rank_1_model_3: 0.9356 0.6672
3HPQ_20_01_unrelaxed_rank_2_model_4: 0.9381 0.6894
3HPQ_20_01_unrelaxed_rank_3_model_1: 0.8945 0.6767
3HPQ_20_01_unrelaxed_rank_4_model_5: 0.9335 0.6900
3HPQ_20_01_unrelaxed_rank_5_model_2: 0.9301 0.6787
3HPQ_20_02_unrelaxed_rank_1_model_3: 0.9448 0.6656
3HPQ_20_02_unrelaxed_rank_2_model_4: 0.9325 0.6867
3HPQ_20_02_unrelaxed_rank_3_model_1: 0.8936 0.6714
3HPQ_20_02_unrelaxed_rank_4_model_5: 0.9139 0.6889
3HPQ_20_02_unrelaxed_rank_5_model_2: 0.9319 0.6745
3HPQ_20_03_unrelaxed_rank_1_model_3: 0.9433 0.6662
3HPQ_20_03_unrelaxed_rank_2_model_4: 0.9283 0.6876
3HPQ_20_03_unrelaxed_rank_3_model_1: 0.9020 0.6757
3HPQ_20_03_unrelaxed_rank_4_model_5: 0.9215 0.6950
3HPQ_20_03_unrelaxed_rank_5_model_2: 0.9295 0.6825
3HPQ_21_01_unrelaxed_rank_1_model_3: 0.9448 0.6966
3HPQ_21_01_unrelaxed_rank_2_model_1: 0.9023 0.7172
3HPQ_21_01_unrelaxed_rank_3_model_2: 0.8989 0.7112
3HPQ_21_01_unrelaxed_rank_4_model_4: 0.8169 0.7811
3HPQ_21_01_unrelaxed_rank_5_model_5: 0.9237 0.7072
3HPQ_21_02_unrelaxed_rank_1_model_3: 0.9412 0.6954
3HPQ_21_02_unrelaxed_rank_2_model_1: 0.9022 0.7160
3HPQ_21_02_unrelaxed_rank_3_model_2: 0.9095 0.7135
3HPQ_21_02_unrelaxed_rank_4_model_4: 0.8423 0.7697
3HPQ_21_02_unrelaxed_rank_5_model_5: 0.9206 0.7101
3HPQ_21_03_unrelaxed_rank_1_model_3: 0.9449 0.6988
3HPQ_21_03_unrelaxed_rank_2_model_1: 0.8934 0.7226
3HPQ_21_03_unrelaxed_rank_3_model_2: 0.8978 0.7131
3HPQ_21_03_unrelaxed_rank_4_model_4: 0.8671 0.7558
3HPQ_21_03_unrelaxed_rank_5_model_5: 0.9194 0.7075
3HPQ_22_01_unrelaxed_rank_1_model_3: 0.9728 0.6888
3HPQ_22_01_unrelaxed_rank_2_model_1: 0.9155 0.7138
3HPQ_22_01_unrelaxed_rank_3_model_2: 0.9279 0.7100
3HPQ_22_01_unrelaxed_rank_4_model_4: 0.9712 0.7016
3HPQ_22_01_unrelaxed_rank_5_model_5: 0.9524 0.6978
3HPQ_22_02_unrelaxed_rank_1_model_3: 0.9741 0.6887
3HPQ_22_02_unrelaxed_rank_2_model_1: 0.9143 0.7131
3HPQ_22_02_unrelaxed_rank_3_model_2: 0.9324 0.7076
3HPQ_22_02_unrelaxed_rank_4_model_4: 0.9444 0.7067
3HPQ_22_02_unrelaxed_rank_5_model_5: 0.9481 0.6982
3HPQ_22_03_unrelaxed_rank_1_model_3: 0.9770 0.6877
3HPQ_22_03_unrelaxed_rank_2_model_1: 0.9134 0.7146
3HPQ_22_03_unrelaxed_rank_3_model_4: 0.9466 0.7040
3HPQ_22_03_unrelaxed_rank_4_model_2: 0.9257 0.7098
3HPQ_22_03_unrelaxed_rank_5_model_5: 0.9517 0.6980
